Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
PPH_46,-38.30407154,144.66736,20180408,8:05:00,PPH,Fished,PPH,-3.693000078,Sasha Whitmarsh,Yes,No,NA,camera labels switched?
PPH_47,-38.30482895,144.67278,20180408,8:00:00,PPH,No-take,PPH,-2.557,Sasha Whitmarsh,Yes,No,NA,"part a missing on left, thus not scored"
PPH_48,-38.30512545,144.68505,20180408,7:50:00,PPH,No-take,PPH,-21.79000092,Sasha Whitmarsh,Yes,Yes,NA,Good crab and fiddler footage throughout
PPH_50,-38.32656179,144.67468,20180407,9:40:00,PPH,Fished,PPH,-15.36999989,Sasha Whitmarsh,Yes,Yes,NA,Facing down
PPH_51,-38.32521433,144.66387,20180407,9:43:00,PPH,Fished,PPH,-15.07999992,Sasha Whitmarsh,Yes,Yes,NA,"some sand obscuration, sand bank in view"
PPH_52,-38.32011068,144.66498,20180407,9:50:00,PPH,Fished,PPH,-10.34000015,Sasha Whitmarsh,Yes,Yes,NA,
PPH_53,-38.32349749,144.65847,20180407,9:48:00,PPH,Fished,PPH,-12.54,Sasha Whitmarsh,Yes,Yes,NA,
PPH_54,-38.31084146,144.71034,20180514,13:25:00,PPH,No-take,PPH,-15.82999992,Sasha Whitmarsh,Yes,Yes,NA,Facing up
PPH_55,-38.31293797,144.71249,20180514,13:28:00,PPH,No-take,PPH,-9.470999718,Sasha Whitmarsh,Yes,Yes,NA,
PPH_57,-38.30717713,144.6884,20180408,7:46:00,PPH,Fished,PPH,-14.46000004,Sasha Whitmarsh,Yes,Yes,NA,
PPH_58,-38.29636,144.60595,20180408,11:32:00,PPH,Fished,PPH,-8.505,Sasha Whitmarsh,Yes,Yes,NA,no part a on the right
PPH_59,-38.27695679,144.69781,20180514,13:10:00,PPH,No-take,PPH,-8.909999847,Sasha Whitmarsh,Yes,No,NA,poor vis
PPH_61,-38.30691797,144.80102,20180514,13:43:00,PPH,Fished,PPH,-5.261000156,Sasha Whitmarsh,Yes,Yes,NA,partly obscured
