Sample,Longitude,Latitude,inclusion.probabilities,domain,FoV,Relief,Soft substata,Hard substrata,Biota,Habitat
66,147.061,-39.0688,0.01515253,3,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Medium Short Invert complex,Shellhash
67,147.131,-39.3318,0.287010736,4,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
68,147.487,-39.5763,0.010662789,2,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
71,147.145,-39.4381,0.273551178,4,Open,0,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
72,147.146,-39.361,0.285227837,4,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Short Invert complex,Shellhash
73,147.493,-39.5866,0.01417865,2,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Tall Invert complex,Shellhash
75,147.093,-39.0894,0.01515253,3,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
76,147.516,-39.5471,0.015642217,2,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Tall Invert complex,Shellhash
77,146.604,-39.3076,0.000419236,1,Open,1,25-50% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Medium Short Invert complex,Coarse sand
78,147.123,-39.3311,0.287052239,4,Open,4,25-50% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock ,Medium Tall Invert complex,Reef
79,147.136,-39.3529,0.286340958,4,Open,0,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
80,147.492,-39.5294,0.015444518,2,Open,2,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock Veneer,Dense Tall Invert complex,Reef
82,147.147,-39.0814,0.01515253,3,Open,2,50-75% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Short Invert complex,Shellhash
84,147.11,-39.3496,0.286489703,4,Open,1,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
85,146.724,-39.1871,0.000415792,1,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Shellhash
87,147.139,-39.324,0.2866003,4,Open,1,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
88,146.988,-39.3523,0.000376873,1,Open,1,50-75% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
89,147.129,-39.3338,0.287032346,4,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Medium Short Invert complex,Shellhash
90,147.141,-39.3578,0.28562201,4,Open,3,0-25% Unconsolidated Sand / mud (coarse sand) ,75-100% Consolidated Rock ,Dense Tall Invert complex,Reef
