Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,datetime
20_80M_24N,18.829034,121.507744,20201025,8:37:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.6,Yes,Yes,Curtin,20201025 08:37
20_80M_25N,18.825408,121.508265,20201025,8:41:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.9,Yes,Yes,Curtin,20201025 08:41
20_80M_26N,18.826516,121.502794,20201025,8:44:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.1,Yes,Yes,Curtin,20201025 08:44
20_80M_27N,18.816222,121.499867,20201025,8:49:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.5,Yes,Yes,Curtin,20201025 08:49
20_80M_28N,18.818998,121.49792,20201025,8:52:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.7,Yes,Yes,Curtin,20201025 08:52
20_80M_29N,18.8316,121.488842,20201025,8:58:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.8,Yes,Yes,Curtin,20201025 08:58
20_80M_30N,18.823563,121.475921,20201025,10:17:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.8,Yes,Yes,Curtin,20201025 10:17
20_80M_31N,18.824939,121.47928,20201025,10:19:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.1,Yes,Yes,Curtin,20201025 10:19
20_80M_32N,18.827643,121.476236,20201025,10:22:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.7,Yes,Yes,Curtin,20201025 10:22
20_80M_33N,18.838265,121.465114,20201025,10:29:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.5,Yes,Yes,Curtin,20201025 10:29
20_80M_34N,18.842759,121.469745,20201025,10:32:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16,Yes,Yes,Curtin,20201025 10:32
20_80M_35N,18.854278,121.472136,20201025,10:38:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.4,Yes,Yes,Curtin,20201025 10:38
20_80M_36N,18.85556,121.47485,20201025,10:41:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.5,Yes,Yes,Curtin,20201025 10:41
20_80M_37N,18.858273,121.482271,20201025,10:45:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.3,Yes,Yes,Curtin,20201025 10:45
20_80M_38N,18.843812,121.489761,20201025,12:21:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.1,Yes,Yes,Curtin,20201025 12:21
20_80M_39N,18.84929,121.487757,20201025,12:25:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.4,Yes,Yes,Curtin,20201025 12:25
20_80M_40N,18.85217,121.49943,20201025,12:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15,Yes,Yes,Curtin,20201025 12:31
20_80M_41N,18.857254,121.492047,20201025,12:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.9,Yes,Yes,Curtin,20201025 12:36
20_80M_42N,18.858225,121.49955,20201025,12:40:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.3,Yes,Yes,Curtin,20201025 12:40
20_80M_43N,18.870234,121.504625,20201025,12:45:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.1,Yes,Yes,Curtin,20201025 12:45
20_80M_44N,18.873155,121.514608,20201025,12:50:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.5,Yes,Yes,Curtin,20201025 12:50
20_80M_45N,18.873491,121.517853,20201025,12:52:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.3,Yes,Yes,Curtin,20201025 12:52
20_80M_46N,18.856204,121.519196,20201025,14:11:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.7,Yes,Yes,Curtin,20201025 14:11
20_80M_47N,18.840729,121.519608,20201025,14:18:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.2,Yes,Yes,Curtin,20201025 14:18
20_80M_48N,18.844824,121.528517,20201025,14:24:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.5,Yes,Yes,Curtin,20201025 14:24
20_80M_49N,18.852406,121.525001,20201025,14:29:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.6,Yes,Yes,Curtin,20201025 14:29
20_80M_50N,18.854018,121.533535,20201025,14:32:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.4,Yes,Yes,Curtin,20201025 14:32
20_80M_51N,18.859278,121.5396,20201025,14:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11.4,No,No,Curtin,20201025 14:36
20_80M_52N,18.852302,121.54399,20201025,14:40:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.4,Yes,Yes,Curtin,20201025 14:40
20_80M_53N,18.853134,121.547942,20201025,14:43:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.1,Yes,Yes,Curtin,20201025 14:43
20_80M_21F,18.72711667,121.53585,20201025,8:42:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19,Yes,Yes,Curtin,20201025 08:42
20_80M_22F,18.72236667,121.5306667,20201025,8:46:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.4,Yes,Yes,Curtin,20201025 08:46
20_80M_23F,18.71393333,121.5290667,20201025,8:51:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.7,Yes,Yes,Curtin,20201025 08:51
20_80M_24F,18.70221667,121.5185833,20201025,8:58:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.6,Yes,Yes,Curtin,20201025 08:58
20_80M_25F,18.7111,121.5151833,20201025,9:06:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.5,Yes,No,Curtin,20201025 09:06
20_80M_26F,18.71251667,121.5139667,20201025,9:11:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.6,Yes,Yes,Curtin,20201025 09:11
20_80M_27F,18.71856667,121.5192333,20201025,9:17:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.4,Yes,Yes,Curtin,20201025 09:17
20_80M_28F,18.70405,121.4951167,20201025,10:43:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.7,Yes,Yes,Curtin,20201025 10:43
20_80M_29F,18.71048333,121.5005833,20201025,10:49:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.9,Yes,Yes,Curtin,20201025 10:49
20_80M_30F,18.72661667,121.5087333,20201025,10:55:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,No,Curtin,20201025 10:55
20_80M_31F,18.73266667,121.5210167,20201025,11:00:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19,Yes,Yes,Curtin,20201025 11:00
20_80M_32F,18.73571667,121.5096,20201025,11:06:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.2,Yes,Yes,Curtin,20201025 11:06
20_80M_33F,18.73963333,121.4982667,20201025,11:11:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.7,Yes,Yes,Curtin,20201025 11:11
20_80M_34F,18.74283333,121.4931,20201025,11:15:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.4,Yes,No,Curtin,20201025 11:15
20_80M_35F,18.72463333,121.4974,20201025,13:53:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.9,Yes,Yes,Curtin,20201025 13:53
20_80M_36F,18.72266667,121.4944333,20201025,14:01:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19,Yes,Yes,Curtin,20201025 14:01
20_80M_37F,18.71971667,121.4896167,20201025,14:04:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18,Yes,Yes,Curtin,20201025 14:04
20_80M_38F,18.72316667,121.4839333,20201025,14:09:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.9,Yes,Yes,Curtin,20201025 14:09
20_80M_39F,18.7183,121.4804167,20201025,14:13:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.3,Yes,No,Curtin,20201025 14:13
20_80M_40F,18.7266,121.4706333,20201025,14:19:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.1,Yes,Yes,Curtin,20201025 14:19
20_80M_41F,18.7258,121.4637333,20201025,14:24:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,20,Yes,Yes,Curtin,20201025 14:24
20_80M_54N,18.844594,121.455226,20201026,9:24:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19,Yes,Yes,Curtin,20201026 09:24
20_80M_55N,18.847392,121.452603,20201026,9:26:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.4,Yes,Yes,Curtin,20201026 09:26
20_80M_56N,18.854437,121.444635,20201026,9:32:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201026 09:32
20_80M_57N,18.857912,121.448418,20201026,9:35:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16,Yes,Yes,Curtin,20201026 09:35
20_80M_58N,18.86602,121.445723,20201026,9:40:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18,Yes,Yes,Curtin,20201026 09:40
20_80M_59N,18.863297,121.433099,20201026,9:46:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.6,Yes,Yes,Curtin,20201026 09:46
20_80M_60N,18.863598,121.428552,20201026,9:49:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.1,Yes,Yes,Curtin,20201026 09:49
20_80M_61N,18.868938,121.426689,20201026,9:53:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.2,Yes,Yes,Curtin,20201026 09:53
20_80M_62N,18.865179,121.449878,20201026,11:10:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.4,Yes,Yes,Curtin,20201026 11:10
20_80M_63N,18.869907,121.449377,20201026,11:14:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.6,Yes,Yes,Curtin,20201026 11:14
20_80M_64N,18.880149,121.443224,20201026,11:20:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17,Yes,Yes,Curtin,20201026 11:20
20_80M_65N,18.884531,121.446655,20201026,11:23:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.3,Yes,Yes,Curtin,20201026 11:23
20_80M_66N,18.8849,121.449419,20201026,11:26:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.4,Yes,Yes,Curtin,20201026 11:26
20_80M_67N,18.884554,121.463432,20201026,11:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.2,Yes,Yes,Curtin,20201026 11:31
20_80M_68N,18.88178,121.46698,20201026,11:34:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.1,Yes,Yes,Curtin,20201026 11:34
20_80M_69N,18.893536,121.473456,20201026,11:41:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,Yes,Yes,Curtin,20201026 11:41
20_80M_70N,18.8948,121.475997,20201026,13:14:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14,No,No,Curtin,20201026 13:14
20_80M_71N,18.89774,121.482946,20201026,13:18:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.4,No,No,Curtin,20201026 13:18
20_80M_72N,18.891746,121.484469,20201026,13:21:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.4,Yes,Yes,Curtin,20201026 13:21
20_80M_73N,18.894001,121.493838,20201026,13:26:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.8,No,No,Curtin,20201026 13:26
20_80M_74N,18.897717,121.503722,20201026,13:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.7,No,No,Curtin,20201026 13:31
20_80M_75N,18.895311,121.515582,20201026,13:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11,No,No,Curtin,20201026 13:36
20_80M_76N,18.889685,121.518983,20201026,13:39:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,10.8,No,No,Curtin,20201026 13:39
20_80M_77N,18.88521,121.53041,20201026,13:45:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,10.4,No,No,Curtin,20201026 13:45
20_80M_78N,18.879122,121.539045,20201026,14:57:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11,No,No,Curtin,20201026 14:57
20_80M_79N,18.871311,121.533341,20201026,15:01:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,11.7,No,No,Curtin,20201026 15:01
20_80M_80N,18.879902,121.510559,20201026,15:11:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,12.7,No,No,Curtin,20201026 15:11
20_80M_81N,18.881496,121.499647,20201026,15:16:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,13.6,No,No,Curtin,20201026 15:16
20_80M_82N,18.87519,121.492888,20201026,15:21:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.6,Yes,Yes,Curtin,20201026 15:21
20_80M_83N,18.880441,121.484857,20201026,15:25:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,14.4,Yes,Yes,Curtin,20201026 15:25
20_80M_84N,18.868441,121.472923,20201026,15:33:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.9,Yes,Yes,Curtin,20201026 15:33
20_80M_85N,18.866763,121.465302,20201026,15:37:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.1,Yes,Yes,Curtin,20201026 15:37
20_80M_42F,18.73691667,121.4828167,20201026,9:04:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.6,Yes,Yes,Curtin,20201026 09:04
20_80M_43F,18.75023333,121.47035,20201026,9:13:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.2,Yes,Yes,Curtin,20201026 09:13
20_80M_44F,18.75661667,121.4727167,20201026,9:18:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18,Yes,Yes,Curtin,20201026 09:18
20_80M_45F,18.75665,121.4839,20201026,9:23:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.9,Yes,Yes,Curtin,20201026 09:23
20_80M_46F,18.75991667,121.4882833,20201026,9:27:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201026 09:27
20_80M_47F,18.76403333,121.49635,20201026,9:32:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,20,Yes,Yes,Curtin,20201026 09:32
20_80M_48F,18.70353333,121.4987,20201026,9:36:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.8,Yes,Yes,Curtin,20201026 09:36
20_80M_49F,18.77283333,121.4863833,20201026,11:05:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.6,Yes,Yes,Curtin,20201026 11:05
20_80M_50F,18.78731667,121.4897,20201026,11:10:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201026 11:10
20_80M_51F,18.79708333,121.5031667,20201026,11:16:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201026 11:16
20_80M_52F,18.80341667,121.4993333,20201026,11:21:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.1,Yes,Yes,Curtin,20201026 11:21
20_80M_53F,18.8097,121.4927,20201026,11:25:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.5,Yes,Yes,Curtin,20201026 11:25
20_80M_54F,18.80553333,121.4857833,20201026,11:30:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.3,Yes,Yes,Curtin,20201026 11:30
20_80M_55F,18.79591667,121.48905,20201026,11:34:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201026 11:34
20_80M_56F,18.76341667,121.4698667,20201026,13:09:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.1,Yes,Yes,Curtin,20201026 13:09
20_80M_57F,18.77696667,121.47515,20201026,13:13:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.9,Yes,Yes,Curtin,20201026 13:13
20_80M_58F,18.78665,121.47495,20201026,13:17:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.3,Yes,Yes,Curtin,20201026 13:17
20_80M_59F,18.78813333,121.4826333,20201026,13:22:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.4,Yes,Yes,Curtin,20201026 13:22
20_80M_60F,18.7988,121.4804333,20201026,13:26:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.8,Yes,Yes,Curtin,20201026 13:26
20_80M_61F,18.80363333,121.4741333,20201026,13:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.1,Yes,Yes,Curtin,20201026 13:31
20_80M_62F,18.81306667,121.4696333,20201026,13:35:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.9,Yes,Yes,Curtin,20201026 13:35
20_80M_86N,18.88755,121.383446,20201027,9:30:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.1,Yes,Yes,Curtin,20201027 09:30
20_80M_87N,18.890079,121.391238,20201027,9:35:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.3,Yes,Yes,Curtin,20201027 09:35
20_80M_88N,18.901844,121.399987,20201027,9:42:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.8,Yes,Yes,Curtin,20201027 09:42
20_80M_89N,18.909616,121.407894,20201027,9:48:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,19.1,Yes,Yes,Curtin,20201027 09:48
20_80M_90N,18.912762,121.412598,20201027,9:51:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18.6,Yes,Yes,Curtin,20201027 09:51
20_80M_91N,18.917685,121.422872,20201027,9:57:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.9,Yes,Yes,Curtin,20201027 09:57
20_80M_92N,18.926181,121.431608,20201027,10:03:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.2,Yes,Yes,Curtin,20201027 10:03
20_80M_93N,18.933345,121.436455,20201027,10:08:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.3,Yes,Yes,Curtin,20201027 10:08
20_80M_94N,18.925231,121.449363,20201027,11:22:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.6,Yes,Yes,Curtin,20201027 11:22
20_80M_95N,18.921649,121.455898,20201027,11:25:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.5,No,No,Curtin,20201027 11:25
20_80M_96N,18.913409,121.445583,20201027,11:31:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.6,Yes,Yes,Curtin,20201027 11:31
20_80M_97N,18.914242,121.439591,20201027,11:34:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,15.8,Yes,Yes,Curtin,20201027 11:34
20_80M_98N,18.9065,121.44026,20201027,11:38:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,16.7,Yes,Yes,Curtin,20201027 11:38
20_80M_99N,18.903476,121.438286,20201027,11:41:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.5,Yes,Yes,Curtin,20201027 11:41
20_80M_100N,18.906096,121.431407,20201027,11:47:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.2,Yes,Yes,Curtin,20201027 11:47
20_80M_101N,18.898623,121.414806,20201027,11:55:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,18,Yes,Yes,Curtin,20201027 11:55
20_80M_102N,18.879616,121.415826,20201027,13:09:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.1,Yes,Yes,Curtin,20201027 13:09
20_80M_103N,18.88624,121.40992,20201027,13:14:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17.3,Yes,Yes,Curtin,20201027 13:14
20_80M_104N,18.889226,121.418411,20201027,13:19:00,Eighty Mile Beach,Eighty Mile Beach Marine Park,Fished,17,Yes,Yes,Curtin,20201027 13:19
