Dot Point Measurements																									
																									
"Generated: Tuesday, December 05, 2017 15:33:46"																									
																									
Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
DeepReef_Butlers_04_09032015_284.avi	22703	29:49.5	944	1727	12/01/2017	Butlers Point Autumn											Macroalgae	Erect fine branching	Red	Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope	90300910			100
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	136	193	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	405	193	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	675	193	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	944	193	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	136	576	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	405	576	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	675	576	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	944	576	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	136	960	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.6
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	405	960	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					15.5
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	675	960	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					15.5
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	944	960	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.6
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	136	1344	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	405	1344	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	675	1344	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					46.9
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	944	1344	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					64.3
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	136	1727	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					100
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	405	1727	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	675	1727	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					89.8
DeepReef_Butlers_05_26032015_406.avi	5909	27:10.8	944	1727	12/01/2017	Butlers Point Autumn											Open Water			Facing Up					100
