"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
11347,-14.208413,144.896552,20190106,16:46:10,NA,"Sandbank1 Reef","No-take",7.4,"Yes","No","Mike Cappo","2019_SANDBANK1_22 22",5.76666,66.7,NA,7,"122","Northern GBR 2019"
11349,-14.193243,144.879937,20190106,14:53:06,NA,"Sandbank1 Reef","No-take",24,"Yes","No","Mike Cappo","2019_SANDBANK1_3 3",6.9,67.71667,NA,3,"123","Northern GBR 2019"
11352,-14.208057,144.888393,20190106,15:31:53,NA,"Sandbank1 Reef","No-take",7,"Yes","No","Mike Cappo","2019_SANDBANK1_6 6",6.16666,66.78333,NA,2,"122","Northern GBR 2019"
11354,-14.190771,144.882921,20190106,16:15:18,NA,"Sandbank1 Reef","No-take",23,"Yes","No","Mike Cappo","2019_SANDBANK1_8 8",5.91666,66.23333,NA,6,"122","Northern GBR 2019"
11230,-13.8585,144.067875,20190114,13:47:37,NA,"13-124 Reef","Fished",5.6,"Yes","No","Mike Cappo","2019_13124_15 15",1.75,62.71667,NA,4,"123","Northern GBR 2019"
11238,-13.87365,144.070175,20190114,15:27:38,NA,"13-124 Reef","Fished",12,"Yes","No","Mike Cappo","2019_13124_22 22",5.1,65.23333,NA,2,"123","Northern GBR 2019"
11252,-13.8885,144.205119,20190115,08:06:48,NA,"Corbett Reef","No-take",15.8,"Yes","No","Mike Cappo","2019_Corbett_13 13",5.18333,65.3,NA,4,"123","Northern GBR 2019"
11257,-13.897235,144.20452,20190115,08:46:49,NA,"Corbett Reef","No-take",8,"Yes","No","Mike Cappo","2019_Corbett_18 18",3.43333,63.73333,NA,3,"122","Northern GBR 2019"
11264,-13.908299,144.219739,20190115,07:56:11,NA,"Corbett Reef","No-take",8,"Yes","No","Mike Cappo","2019_Corbett_24 24",4.18333,64.5,NA,1,"122","Northern GBR 2019"
11271,-13.892616,144.224198,20190115,10:38:29,NA,"Corbett Reef","No-take",9,"Yes","No","Mike Cappo","2019_Corbett_9 9",5.41666,65.23333,NA,2,"123","Northern GBR 2019"
11273,-13.976733,144.440694,20190109,10:31:51,NA,"Davie Reef","Fished",10,"Yes","No","Mike Cappo","2019_Davie_10 10",3.71666,64.43333,NA,6,"123","Northern GBR 2019"
11283,-13.964633,144.451966,20190109,08:13:58,NA,"Davie Reef","Fished",14,"Yes","No","Mike Cappo","2019_Davie_2 2",3,63.13334,NA,9,"122","Northern GBR 2019"
11285,-13.984378,144.46247,20190109,08:54:35,NA,"Davie Reef","Fished",10,"Yes","No","Mike Cappo","2019_Davie_21 21",9.41666,69.81667,NA,5,"122","Northern GBR 2019"
11287,-13.985843,144.454561,20190109,09:05:03,NA,"Davie Reef","Fished",8,"Yes","No","Mike Cappo","2019_Davie_23 23",9.08333,70.01667,NA,6,"123","Northern GBR 2019"
11288,-13.968255,144.445275,20190109,08:23:32,NA,"Davie Reef","Fished",6,"Yes","No","Mike Cappo","2019_Davie_3 3",5.08333,66.2,NA,5,"123","Northern GBR 2019"
11299,-12.370571,143.771501,20190119,08:06:14,NA,"Lagoon Reef","Fished",17,"Yes","No","Mike Cappo","2019_Lagoon_13 13",8.61666,68.9,NA,10,"122","Northern GBR 2019"
11304,-12.377969,143.758018,20190119,08:52:39,NA,"Lagoon Reef","Fished",14,"Yes","No","Mike Cappo","2019_Lagoon_18 18",2.05,62.78333,NA,10,"123","Northern GBR 2019"
11308,-12.386705,143.760952,20190119,10:46:03,NA,"Lagoon Reef","Fished",9,"Yes","No","Mike Cappo","2019_Lagoon_21 21",6.88333,67.18333,NA,2,"123","Northern GBR 2019"
11316,-12.384529,143.752722,20190119,09:30:21,NA,"Lagoon Reef","Fished",16.8,"Yes","No","Mike Cappo","2019_Lagoon_7 7",5.06666,65.28333,NA,2,"122","Northern GBR 2019"
11320,-12.30941,143.87628,20190120,08:05:12,NA,"Mantis Reef","No-take",10,"Yes","No","Mike Cappo","2019_Mantis_13 13",2.41666,63,NA,5,"122","Northern GBR 2019"
11328,-12.299343,143.882151,20190120,09:58:30,NA,"Mantis Reef","No-take",15,"Yes","No","Mike Cappo","2019_Mantis_20 20",5.66666,66.08334,NA,3,"122","Northern GBR 2019"
11330,-12.321805,143.856672,20190120,08:56:19,NA,"Mantis Reef","No-take",13.6,"Yes","No","Mike Cappo","2019_Mantis_3 3",8.9,69.11667,NA,4,"123","Northern GBR 2019"
11331,-12.318795,143.859993,20190120,09:12:28,NA,"Mantis Reef","No-take",9.8,"Yes","No","Mike Cappo","2019_Mantis_4 4",6.85,67.08334,NA,4,"123","Northern GBR 2019"
11348,-14.208752,144.893036,20190106,15:08:55,NA,"Sandbank1 Reef","No-take",5.3,"Yes","No","Mike Cappo","2019_SANDBANK1_23 23",4.41666,64.68333,NA,7,"123","Northern GBR 2019"
11355,-14.196431,144.87947,20190106,16:30:14,NA,"Sandbank1 Reef","No-take",11,"Yes","No","Mike Cappo","2019_SANDBANK1_9 9",3.76666,59.83333,NA,5,"123","Northern GBR 2019"
11213,-11.359984,143.345607,20190124,10:57:13,NA,"11-049 Reef","No-take",6.8,"Yes","No","Mike Cappo","2019_11-049_10 10",9.06666,69.2,22.83333,2,"122","Northern GBR 2019"
11228,-13.849578,144.072702,20190114,12:55:32,NA,"13-124 Reef","Fished",8,"Yes","No","Mike Cappo","2019_13124_13 13",4.35,65.1,NA,6,"123","Northern GBR 2019"
11235,-13.870299,144.096847,20190114,13:00:21,NA,"13-124 Reef","Fished",16,"Yes","No","Mike Cappo","2019_13124_2 2",8.68333,69.65,NA,5,"123","Northern GBR 2019"
11262,-13.90535,144.210178,20190115,08:18:43,NA,"Corbett Reef","No-take",12,"Yes","No","Mike Cappo","2019_Corbett_22 22",4.25,64.5,NA,3,"122","Northern GBR 2019"
11278,-13.973315,144.468334,20190109,08:16:53,NA,"Davie Reef","Fished",15,"Yes","No","Mike Cappo","2019_Davie_15 15",7.5,67.8,NA,5,"123","Northern GBR 2019"
11284,-13.983162,144.466144,20190109,10:40:35,NA,"Davie Reef","Fished",10.9,"Yes","No","Mike Cappo","2019_Davie_20 20",20.83333,80.78333,NA,4,"123","Northern GBR 2019"
11302,-12.370657,143.763553,20190119,08:36:19,NA,"Lagoon Reef","Fished",18,"Yes","No","Mike Cappo","2019_Lagoon_16 16",6.9,67.36667,NA,10,"123","Northern GBR 2019"
11306,-12.38633,143.749607,20190119,08:11:02,NA,"Lagoon Reef","Fished",14.3,"Yes","No","Mike Cappo","2019_Lagoon_2 2",7.26666,67.63333,NA,6,"123","Northern GBR 2019"
11307,-12.378709,143.762375,20190119,10:36:56,NA,"Lagoon Reef","Fished",10,"Yes","No","Mike Cappo","2019_Lagoon_20 20",5.2,65.36667,NA,7,"122","Northern GBR 2019"
11315,-12.397048,143.74682,20190119,09:02:37,NA,"Lagoon Reef","Fished",4,"Yes","No","Mike Cappo","2019_Lagoon_6 6",5.68333,66.45,NA,3,"122","Northern GBR 2019"
11341,-14.196002,144.906499,20190106,14:37:52,NA,"Sandbank1 Reef","No-take",9,"Yes","No","Mike Cappo","2019_SANDBANK1_17 17",7.11666,67.71667,22.23333,9,"122","Northern GBR 2019"
