Camera Details

Generated: Monday 06 November 2023 13:10:00

OpCode	TapeReader	Depth	Comment	Habitat	Date							Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
SN_R1	Christine		Algae obstructing view	Sand and Algae	14/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R2	Caitlin		landed on side		14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R2	Caitlin		landed on side		14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R3	Caitlin				14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R3	Caitlin				14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R4	CAITLIN		Tilted	Reef/Algae	14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R4	CAITLIN		Tilted	Reef/Algae	14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R5	Caitlin		facing down, unwatchable		14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R5	Caitlin		facing down, unwatchable		14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R6	Caitlin				14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_R6	Caitlin				14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S1	CAITLIN			Sand	14/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S1	CAITLIN			Sand	14/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S2	CAITLIN			sand	14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S2	CAITLIN			sand	14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S3	Caitlin			sand/algae	14/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S3	Caitlin			sand/algae	14/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S4	Caitlin			Sand	14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S4	Caitlin			Sand	14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S5	Caitlin		Half obstrcuted by algae	Reef not sand 	14/2/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S5	Caitlin		Half obstrcuted by algae	Reef not sand 	14/2/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S6	Caitlin				14/02/19							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
SN_S6	Caitlin				14/02/19							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
