"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
12050,-18.720828,118.765835,20191010,09:02:26,NA,"KEFArea4","Fished",138.4,"Yes","No","Marcus Stowar","KEFArea4 51",26.88333,87.53333,NA,3,"119","NWSS KEF2"
11567,-18.685779,118.920792,20190408,12:30:06,NA,"KEFArea4","Fished",139.2,"Yes","No","Marcus Stowar","KEFArea4 14",17.36667,77.41666,NA,2,"119","NWSS KEF2"
11569,-18.717355,118.938404,20190408,12:09:30,NA,"KEFArea4","Fished",128.8,"Yes","No","Marcus Stowar","KEFArea4 12",14.66667,76.31667,NA,2,"119","NWSS KEF2"
11573,-18.673427,118.92516,20190408,11:30:20,NA,"KEFArea4","Fished",141.4,"Yes","No","Marcus Stowar","KEFArea4 8",6.65,67.01667,NA,3,"119","NWSS KEF2"
11578,-18.737376,118.984062,20190407,11:50:56,NA,"KEFArea4","Fished",112.2,"Yes","No","Marcus Stowar","KEFArea4 3",7.3,68.13333,NA,2,"119","NWSS KEF2"
11589,-15.616519,121.267817,20190404,08:31:00,NA,"KEFArea5","Fished",150.5,"Yes","No","Marcus Stowar","KEFArea5 50",16.61667,77.01667,NA,5,"119","NWSS KEF2"
11605,-15.730634,121.092403,20190402,08:01:30,NA,"KEFArea5","Fished",130.6,"Yes","No","Marcus Stowar","KEFArea5 34",21.55,82.01667,NA,5,"119","NWSS KEF2"
11610,-15.77917,121.107011,20190401,11:16:04,NA,"KEFArea5","Fished",115.6,"Yes","No","Marcus Stowar","KEFArea5 29",18.93333,79.43333,NA,6,"119","NWSS KEF2"
11616,-15.783953,121.030466,20190401,07:44:54,NA,"KEFArea5","Fished",157.1,"Yes","No","Marcus Stowar","KEFArea5 23",10.1,71.05,NA,4,"119","NWSS KEF2"
11617,-15.79083,121.035062,20190401,07:38:40,NA,"KEFArea5","Fished",134.9,"Yes","No","Marcus Stowar","KEFArea5 22",8.26666,69.68333,NA,4,"119","NWSS KEF2"
11629,-15.884187,121.017286,20190330,13:19:54,NA,"KEFArea5","Fished",125.1,"Yes","No","Marcus Stowar","KEFArea5 10",8.21666,69.83334,NA,4,"119","NWSS KEF2"
11631,-15.895726,121.005957,20190330,13:12:26,NA,"KEFArea5","Fished",135,"Yes","No","Marcus Stowar","KEFArea5 8",9.21666,70.88333,NA,4,"119","NWSS KEF2"
12065,-18.724876,118.906575,20191009,11:14:40,NA,"KEFArea4","Fished",126.7,"Yes","No","Marcus Stowar","KEFArea4 36",16.35,78,NA,3,"119","NWSS KEF2"
12070,-18.775003,118.889223,20191009,10:40:52,NA,"KEFArea4","Fished",110.5,"Yes","No","Marcus Stowar","KEFArea4 31",12.58333,72.75,NA,3,"119","NWSS KEF2"
11598,-15.675445,121.196008,20190403,08:15:32,NA,"KEFArea5","Fished",120.5,"Yes","No","Marcus Stowar","KEFArea5 41",11.35,73.36667,NA,5,"119","NWSS KEF2"
