Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
M177,159.06615,-29.4587,20200202,13:56:00,M177,Middleton,Lagoon,No-take,-6.350691,Yes,Yes,Joel,0.034260602,,,
M178,159.0568,-29.42206,20200201,8:33:00,M178,Middleton,Outside,No-take,-70.22923279,Yes,Yes,Justin,0.022604937,,,
M179,159.1081,-29.43304,20200201,13:48:00,M179,Middleton,Lagoon,No-take,0.06221084,Yes,Yes,Joel,0.034260602,,,
M18,159.07484,-29.4243,20200131,12:34:00,M18,Middleton,Outside,No-take,-44.48146057,Yes,Yes,Justin,0.026642631,,,
M181,159.12095,-29.48677,20200203,15:35:00,M181,Middleton,Outside,No-take,-55.12876892,Yes,Yes,Kristy,0.011064268,,,
M183,159.09759,-29.43909,20200203,9:15:00,M183,Middleton,Lagoon,No-take,0.07063494,Yes,Yes,Kristy,0.072238902,,,
M184,159.14193,-29.47935,20200203,16:05:00,M184,Middleton,Outside,No-take,-73.58837891,Yes,Yes,Justin,0.022604937,,,
M185,159.06265,-29.45621,20200131,12:44:00,M185,Middleton,Lagoon,No-take,0.06031242,Yes,Yes,Joel,0.045325403,,,
M186,159.10169,-29.46716,20200131,7:55:00,M186,Middleton,Lagoon,No-take,-1.003871,Yes,Yes,Joel,0.034260602,,,
M187,159.11334,-29.46065,20200131,8:40:00,M187,Middleton,Lagoon,No-take,-0.3128081,Yes,No,Joel,0.034260602,,,
M188,159.09473,-29.47167,20200202,10:30:00,M188,Middleton,Lagoon,No-take,-1.159497,Yes,Yes,Joel,0.034260602,,,
M189,159.14598,-29.42397,20200201,15:15:00,M189,Middleton,Outside,No-take,-89.45126343,Yes,Yes,Kristy,0.026373519,,,
M193,159.12383,-29.43618,20200201,14:09:00,M193,Middleton,Lagoon,No-take,-0.6960686,Yes,Yes,Joel,0.034260602,,,
M194,159.05388,-29.45292,20200202,13:26:00,M194,Middleton,Lagoon,No-take,1.254568,Yes,No,Joel,0.034260602,,,
