"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Ascidians","broad.Bryozoa","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Sponges","broad.Unconsolidated"
"WP_093",-39.1282,146.25869,20210522,11:32:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_094",-39.10093,146.24533,20210523,12:50:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0.1,0.316227766016838,0,0,0,0,0,0,100
"WP_095",-39.0872,146.25795,20210523,09:31:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_096",-39.0846,146.26752,20210523,09:26:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0.3,0.483045891539648,0,0,0,0,0,0,100
"WP_097",-39.14438,146.29549,20210522,13:28:00,"Wilsons Promontory","Wilsons Promontory","Yes",100,0,0,0,3,0,0,0,0,100,0,0,0
"WP_098",-39.141,146.29033,20210523,13:37:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_099",-39.15202,146.38884,20210524,11:35:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0.733333333333333,0.457737708217063,0,0,0,0,0,80,20
"WP_101",-39.1528,146.38285,20210524,11:30:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1,0,0,0,0,0,0,100,0
"WP_103",-39.14238,146.37865,20210524,09:54:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_105",-39.13683,146.41629,20210524,12:03:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_106",-39.13961,146.39634,20210521,13:47:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_107",-39.14354,146.3626,20210521,14:05:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1.85714285714286,0.377964473009227,0,0,0,57.1428571428571,0,42.8571428571429,0
"WP_108",-39.13934,146.37233,20210524,09:58:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_110",-39.06523429,146.2846594,20210523,09:13:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_111",-39.06278821,146.3058562,20210523,08:04:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_112",-39.15307454,146.4100159,20210524,11:48:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_113",-39.15605176,146.4113262,20210524,11:45:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_114",-39.13976411,146.4233338,20210524,11:58:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,10,0,0,0,90,0
"WP_115",-39.13565442,146.4314143,20210525,12:28:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,0,0,0,0,90,10
"WP_115F",-39.13565442,146.4314143,20210524,12:09:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_116",-39.12488036,146.4425771,20210524,12:23:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_117",-39.13223893,146.4258329,20210524,12:14:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,0.631578947368421,0.495594627783352,0,0,0,63.1578947368421,0,0,36.8421052631579
"WP_118",-39.06576522,146.4718637,20210521,11:02:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,1.53333333333333,0.516397779494322,0,60,20,0,0,20,0
"WP_119",-39.16967045,146.3860689,20210524,14:05:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_120",-39.1215504,146.267472,20210523,13:20:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0.5,0.52704627669473,0,0,0,20,0,70,10
"WP_121",-39.11730298,146.2737632,20210523,13:16:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_122",-39.14405143,146.2921177,20210525,09:45:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
"WP_122F",-39.14405143,146.2921177,20210522,13:26:00,"Wilsons Promontory","Wilsons Promontory","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WP_123",-39.14427891,146.2839399,20210523,13:40:00,"Wilsons Promontory","Wilsons Promontory","Yes",100,0,0,0,1,0,0,5.55555555555556,16.6666666666667,0,27.7777777777778,50,0
"WP_124",-39.12535282,146.2443021,20210522,11:24:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,2,0,0,0,0,100,0,0,0
"WP_125",-39.12215677,146.2428348,20210522,11:22:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,100,0,2,0,0,0,0,0,0,100,0
"WP_126",-39.11834653,146.2413107,20210522,11:19:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,1,0,0,0,0,100,0,0,0
"WP_127",-39.11783471,146.2395023,20210522,11:17:00,"Wilsons Promontory","Wilsons Promontory","Yes",0,0,0,100,0,0,0,0,0,0,0,0,100
