Camera Details

Generated: Monday 06 November 2023 14:50:07

OpCode	TapeReader	Depth	Comment	Habitat	Soak time	FOV	Bias	Vis				Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
BB_S1_R8	TClarke	13.7	Starts at 1:30	Silt/kelp	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R1	TClarke	10	Starts at 1:25	Silt/seagrass	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R1	TClarke	10	Starts at 1:25	Silt/seagrass	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R2	TClarke	9.7	Starts at 1:15	Silt/seagrass	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R2	TClarke	9.7	Starts at 1:15	Silt/seagrass	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R3	TClarke	11.8	Starts at 1:30	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R3	TClarke	11.8	Starts at 1:30	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R4	TClarke	10.4	Starts at 1:30. Poor vis	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R4	TClarke	10.4	Starts at 1:30. Poor vis	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R5	TClarke	12.5	Starts at 1:00	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R5	TClarke	12.5	Starts at 1:00	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R6	TClarke	11.5	Starts at 1:05.Stops at 47:11	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R6	TClarke	11.5	Starts at 1:05.Stops at 47:11	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R7	TClarke	10.9	Starts at 1:50	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R7	TClarke	10.9	Starts at 1:50	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R8	TClarke	11	Starts at 1:15. Very poor vis < 2 m	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S2_R8	TClarke	11	Starts at 1:15. Very poor vis < 2 m	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R1	TClarke	16.5	Starts at 1:30	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R1	TClarke	16.5	Starts at 1:30	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R2	TClarke	16.9	Starts at 3:30	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R2	TClarke	16.9	Starts at 3:30	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R3	TClarke	15.9	Starts at 1:40	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R3	TClarke	15.9	Starts at 1:40	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R4	TClarke	15.7	Starts at 2:15	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R4	TClarke	15.7	Starts at 2:15	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R5	TClarke	15.3	Starts at 1:30	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R5	TClarke	15.3	Starts at 1:30	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R6	TClarke	15.5	Starts at 2:00	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R6	TClarke	15.5	Starts at 2:00	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R7	TClarke	16.5	Starts at 5:00	Silt	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R7	TClarke	16.5	Starts at 5:00	Silt	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R8	TClarke	16.2	Starts at 6:30. Stirred up for first 10 min	Silt/sponge	60							Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
BB_S3_R8	TClarke	16.2	Starts at 6:30. Stirred up for first 10 min	Silt/sponge	60							Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
