Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,Type,Left.cam,Right.cam,Video.notes,Sampleold,Raw.hdd.number,Con.hdd.number,FishNClip,Habitat.forwards.image.saved,Habitat.forwards.annotated,Habitat.backwards.image.saved,Habitat.backwards.annotated,Habitat.notes,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.complete.date.yyyymmdd,Notes
npz9.9,-27.1288,113.1888,20210515,8:48:00,npz9.9,NPZ9,No-take,82.1,Yes,Yes,Molly Gerrans,Molly Gerrans,MBH,35,36,,9,RAW2,,Yes,Yes,Yes,Yes,Yes,backwards macroalgae = CCA,,,Molly Gerrans,20210723,Claude Spencer,20220223,stethojulis spp
npz9.26,-27.1437,113.2139,20210515,8:14:00,npz9.26,NPZ9,No-take,90.9,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,38,37,"Time out is an estimate, 37/38 in wrong housing",26,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210727,Claude Spencer,20220120,
npz9.11,-27.1238,113.1889,20210515,8:46:00,npz9.11,NPZ9,No-take,85.8,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,39,40,,11,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210728,Claude Spencer,20220120,stethojulis spp
npz9.19,-27.1539,113.1764,20210515,8:58:00,npz9.19,NPZ9,No-take,87.1,Yes,No,Molly Gerrans,N/A,MBH,41,42,Left missing,19,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210809,Claude Spencer,N/A,
npz9.30,-27.1187,113.1864,20210515,8:43:00,npz9.30,NPZ9,No-take,90.3,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,43,44,,30,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210818,Claude Spencer,20220223,
npz9.10,-27.1638,113.1565,20210515,10:36:00,npz9.10,NPZ9,No-take,93.6,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,33,34,eDNA sample,10,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210721,Claude Spencer,20220223, stethojulis spp 
npz9.22,-27.1537,113.1413,20210515,10:34:00,npz9.22,NPZ9,No-take,102,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,38,37,37/38 in wrong housing,22,RAW2,,Yes,Yes,Yes,Yes,Yes,"only 4 successful points, bruv kind of facing up",,,Molly Gerrans,20210727,Claude Spencer,20220120,
npz9.2,-27.1411,113.1465,20210515,10:52:00,npz9.2,NPZ9,No-take,92.1,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,31,32,,2,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210712,Claude Spencer,20220120,
npz9.14,-27.1438,113.1364,20210515,10:56:00,npz9.14,NPZ9,No-take,101,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,29,30,,14,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210709,Claude Spencer,20220223,
npz9.3,-27.1312,113.1239,20210515,11:04:00,npz9.3,NPZ9,No-take,104,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,27,28,,3,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210706,Claude Spencer,20220223,
npz9.8,-27.1261,113.1189,20210515,11:08:00,npz9.8,NPZ9,No-take,105,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,43,44,,8,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210811,Claude Spencer,20220120,
npz9.24,-27.1311,113.1067,20210515,11:14:00,npz9.24,NPZ9,No-take,117,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,39,40,,24,RAW2,,Yes,Yes,Yes,Yes,Yes,think octocoral fan in distance but too far to be sure,,,Molly Gerrans,20210728,Claude Spencer,20220223,stethojulis spp
npz9.21,-27.1362,113.1014,20210515,11:26:00,npz9.21,NPZ9,No-take,122,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,35,36,eDNA sample,21,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210723,Claude Spencer,20220119,
npz9.16,-27.1187,113.109,20210515,13:16:00,npz9.16,NPZ9,No-take,108,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,33,34,Time out is an estimate,16,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210721,Claude Spencer,20220119,"stethojulis spp, "
npz9.27,-27.1164,113.1014,20210515,13:21:00,npz9.27,NPZ9,No-take,114,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,38,37,"37/38 in wrong housing, swapped",27,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210728,Claude Spencer,20220223,
npz9.13,-27.1113,113.1038,20210515,13:27:00,npz9.13,NPZ9,No-take,109,Yes,Yes,Molly Gerrans,Claude Spencer/Molly Gerrans,MBH,31,32,,13,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210713,Claude Spencer,20220223, stethojulis spp
npz9.17,-27.1012,113.0913,20210515,13:37:00,npz9.17,NPZ9,No-take,114,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,29,30,,17,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210712,Claude Spencer,20220119,
npz9.1,-27.0962,113.0863,20210515,13:43:00,npz9.1,NPZ9,No-take,116,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,27,28,eDNA sample,1,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210709,Claude Spencer,20220119,
npz9.28,-27.1013,113.0538,20210515,13:57:00,npz9.28,NPZ9,No-take,132,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,43,44,,28,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210818,Claude Spencer,20220119,
npz9.18,-27.1236,113.0664,20210515,14:08:00,npz9.18,NPZ9,No-take,132,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,39,40,,18,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210806,Claude Spencer,20220119,
npz9.25,-27.1462,113.074,20210515,14:17:00,npz9.25,NPZ9,No-take,133,Yes,Yes,Molly Gerrans,Claude Spencer,MBH,35,36,eDNA sample,25,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210809,Claude Spencer,20220119,
npz9.4,-27.1163,113.1139,20210515,13:11:00,npz9.4,NPZ9,No-take,104,Yes,No,Molly Gerrans,N/A,MBH,41,42,"Both cams off, Left missing. Right cam end at 38:50",4,RAW2,,Yes,Yes,Yes,Yes,Yes,,,,Molly Gerrans,20210809,Claude Spencer,N/A,
