opcode,Type,longitude_dd,latitude_dd,Date,Time,Time.out,Depth,Site,Location,Status,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes,inclusion.probabilities
10.02,new,113.5564085,-22.67334399,20190814,12:19:00,13:23:00,95,10,Ningaloo Marine Park,,Charlotte Aston,20191008,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,,2.57E-07
10.03,new,113.5628228,-22.66874535,20190814,12:24:00,13:31:00,88,10,Ningaloo Marine Park,,Charlotte Aston,20191010,Todd,Yes,Yes,367,368,440,Backwards image ridge. Really cool drop. Tim should show this one.,1,1,Yes,Yes,20200305,Charlotte Aston,20200312,,2.57E-07
10.04,new,113.5518948,-22.6669059,20190814,12:33:00,13:42:00,110,10,Ningaloo Marine Park,,Charlotte Aston,20191008,Todd,Yes,Yes,375,376,420,This was on the raw hard drive but had no labsheet entry. Flipped on its side at 36 minutes,1,1,Yes,Yes,20200305,Charlotte Aston,20200325,,2.57E-07
10.07,new,113.5400165,-22.67311405,20190814,12:40:00,13:55:00,138,10,Ningaloo Marine Park,,Charlotte Aston,20191010,Todd,No,No,372,371,564,Flipped at 30 mins,1,1,Yes,Yes,20200305,Charlotte Aston,20200325,,2.57E-07
10.08,new,113.5383536,-22.67035488,20190814,12:46:00,14:05:00,157,10,Ningaloo Marine Park,,Charlotte Aston,20191010,Todd,No,No,378,377,423,Flipped at 27 mins,1,1,Yes,Yes,20200305,Charlotte Aston,20200316,,2.57E-07
10.09,legacy,113.55942,-22.62918,20190814,14:34:00,16:05:00,160,10,Ningaloo Marine Park,,Brooke Gibbons,20190911,Todd - need to check shark,Yes,Yes,378,377,423,Converted wrong. ,2,1,Yes,Yes,20200305,Charlotte Aston,20200325,,
10.11,legacy,113.5636,-22.61773,20190814,14:41:00,15:52:00,160,10,Ningaloo Marine Park,,Brooke Gibbons,20190925,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200316,,
10.12,legacy,113.57775,-22.59615,20190814,15:20:00,16:58:00,136,10,Ningaloo Marine Park,,Brooke Gibbons,20190925,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,,
10.13,new,113.579,-22.638,20190814,14:53:00,16:24:00,78,10,Ningaloo Marine Park,,Brooke Gibbons,20191010,Todd,Yes,Yes,367,368,440,extra site - picked by Tim - good habitat. Skipped frames,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,,
10.14,new,113.5916667,-22.624,20190814,15:02:00,16:36:00,74,10,Ningaloo Marine Park,,Charlotte Aston,20191015,Todd,Yes,Yes,369,370,422,extra site - picked by Tim,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
10.15,new,113.594,-22.6058333,20190814,15:10:00,16:47:00,84,10,Ningaloo Marine Park,,Charlotte Aston,20191015,Todd,Yes,Yes,373,374,439,extra site - picked by Tim,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.01,new,113.6215013,-22.54044354,20190815,08:06:00,09:12:00,84,11,Ningaloo Marine Park,,Charlotte Aston,20191114,Todd,Yes,Yes,375,376,420,Cloudy day,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.02,new,113.6248272,-22.5365347,20190815,08:11:00,09:18:00,81,11,Ningaloo Marine Park,,Charlotte Aston,20191016,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.03,new,113.6274404,-22.53377552,20190815,08:15:00,09:24:00,79,11,Ningaloo Marine Park,,Charlotte Aston,20191016,Todd,No,No,369,370,422,Flipped after 50 mins,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.04,new,113.6243521,-22.52871703,20190815,08:19:00,09:32:00,91,11,Ningaloo Marine Park,,Charlotte Aston,20191017,Todd,Yes,Yes,367,368,440,Bad vis. Bouncing. Sand bar,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.05,new,113.6255399,-22.52618778,20190815,08:25:00,09:39:00,91,11,Ningaloo Marine Park,,Charlotte Aston,20191017,Todd,No,No,378,377,423,Flipped on back 40 in,,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
11.06,new,113.6345674,-22.52388847,20190815,08:31:00,09:47:00,77,11,Ningaloo Marine Park,,Charlotte Aston,20191017,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,Labridae sp. 8,2.57E-07
12.02,legacy,113.67504,-22.46724,20190815,10:37:00,12:02:00,56,12,Ningaloo Marine Park,,Charlotte Aston,20190830,Brooke,Yes,Yes,369,370,422,Converted wrong. ,2,1,Yes,Yes,20200305,Charlotte Aston,20200303,,2.57E-07
12.03,new,113.6678265,-22.46824503,20190815,10:44:00,11:49:00,65,12,Ningaloo Marine Park,,Charlotte Aston,20191022,Todd,Yes,Yes,373,374,439,Changed from 12.08 to 12.03,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
12.04,new,113.6687767,-22.46433619,20190815,10:48:00,11:56:00,70,12,Ningaloo Marine Park,,Charlotte Aston,20191022,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,3.71E-05
12.05,new,113.6599868,-22.4673253,20190815,10:29:00,11:43:00,86,12,Ningaloo Marine Park,,Charlotte Aston,20191022,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
12.06,new,113.6573736,-22.46548585,20190815,10:25:00,11:35:00,94,12,Ningaloo Marine Park,,Charlotte Aston,20191022,Todd,No,No,378,377,423,Flipped on side,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
12.11,legacy,113.64333,-22.48475,20190815,10:14:00,11:23:00,100,12,Ningaloo Marine Park,,Charlotte Aston,20191022,Todd,Yes,Yes,372,371,564,Bouncing. Snapped bait arm,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,Something wrong with right camera,2.57E-07
13.02,new,113.7058369,-22.40386419,20190815,12:32:00,13:40:00,69,13,Ningaloo Marine Park,,Charlotte Aston,20191024,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
13.03,new,113.7013231,-22.39903562,20190815,12:52:00,13:46:00,83,13,Ningaloo Marine Park,,Charlotte Aston,20191114,Todd,Yes,Yes,378,377,423,Pulled 5 mins early,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
13.04,new,113.6972845,-22.39765604,20190815,12:48:00,14:10:00,92,13,Ningaloo Marine Park,,Charlotte Aston,20191024,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
13.05,new,113.6932459,-22.40087508,20190815,12:43:00,14:03:00,96,13,Ningaloo Marine Park,,Charlotte Aston,20191028,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,2.57E-07
13.06,new,113.6922957,-22.40478391,20190815,12:39:00,13:56:00,94.5,13,Ningaloo Marine Park,,Charlotte Aston,20191028,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200325,,3.10E-06
13.08,new,113.7039364,-22.39328734,20190815,12:56:00,14:16:00,85,13,Ningaloo Marine Park,,Charlotte Aston,20191029,Todd,Yes,Yes,372,371,564,Battery died,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,3.10E-06
14.01,legacy,113.72408,-22.32524,20190815,14:46:00,15:49:00,96,14,Ningaloo Marine Park,,Charlotte Aston,20191029,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,,3.10E-06
14.02,legacy,113.73251,-22.30284,20190815,15:12:00,16:21:00,101,14,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,2.57E-07
14.03,legacy,113.74266,-22.27651,20190815,15:25:00,16:39:00,109,14,Ningaloo Marine Park,,Charlotte Aston,20191115,Todd,No,No,369,370,422,Flips 15 min in,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,2.57E-07
14.06,legacy,113.79046,-22.17832,20190816,08:12:00,09:16:00,100,14,Ningaloo Marine Park,,Charlotte Aston,20191029,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,2.57E-07
14.11,new,113.7371667,-22.3266667,20190815,14:53:00,15:58:00,75,14,Ningaloo Marine Park,,Charlotte Aston,20191029,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,2.57E-07
14.12,new,113.746,-22.3071667,20190815,15:05:00,16:08:00,82,14,Ningaloo Marine Park,,Charlotte Aston,20191030,Todd,Yes,Yes,367,368,440,Two dolphin fish at surface at end. Big reds and lots of them,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,1.85E-07
14.13,new,113.7416667,-22.2866667,20190815,15:20:00,16:32:00,101,14,Ningaloo Marine Park,,Charlotte Aston,20191030,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,1.85E-07
15.01,legacy,113.7915,-22.17344,20190816,08:16:00,09:23:00,100,15,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200318,,4.13E-06
15.02,legacy,113.7941,-22.16882,20190816,08:20:00,09:30:00,100,15,Ningaloo Marine Park,,Charlotte Aston,20191107,Todd,Yes,Yes,375,376,420,No light. Good tape for multidens vs other multidens,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
15.05,legacy,113.78335,-22.16173,20190816,08:27:00,09:39:00,122,15,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,No,No,367,368,440,Flipped on back. cool anenome,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
15.07,legacy,113.79163,-22.13639,20190816,08:43:00,10:03:00,116,15,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,Yes,Yes,372,371,564,"Sunny but windy. Clear, moray eel. Big goldband",2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
15.12,new,113.7899349,-22.14381158,20190816,08:39:00,09:53:00,110,15,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,Yes,Yes,373,374,439,White whale. Missing backwards,2,2,Yes,No,20200305,Charlotte Aston,20200319,,2.43E-07
16.01,legacy,113.80074,-22.12155,20190816,10:22:00,11:28:00,101,18,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,2.43E-07
16.02,legacy,113.79192,-22.11624,20190816,10:28:00,11:37:00,145,16,Ningaloo Marine Park,,Charlotte Aston,20191031,Todd,Yes,Yes,373,374,439,Good habitat,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,2.43E-07
16.03,legacy,113.7967,-22.10669,20190816,10:39:00,11:48:00,190,16,Ningaloo Marine Park,,Charlotte Aston,20191101,Todd,Yes,Yes,367,368,440,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,2.43E-07
16.04,legacy,113.8081,-22.09742,20190816,10:48:00,12:04:00,100,16,Ningaloo Marine Park,,Charlotte Aston,20191101,Todd,Yes,Yes,375,376,420,No light,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,2.43E-07
16.05,legacy,113.82563,-22.0856,20190816,11:00:00,12:23:00,85,16,Ningaloo Marine Park,,Charlotte Aston,20191107,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
17.08,new,113.8193929,-22.0943763,20190816,10:53:00,12:15:00,90,17,Ningaloo Marine Park,,Charlotte Aston,20191101,Todd,Yes,Yes,378,377,423,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
18.01,new,113.812266,-22.06954369,20190816,12:33:00,13:35:00,91,18,Ningaloo Marine Park,,Charlotte Aston,20191101,Todd,Yes,Yes,369,370,422,,2,2,Yes,Yes,20200305,Charlotte Aston,20200319,,NA
