campaignid,opcode,level_1,level_2,level_3,level_4,level_5,caab_code,count
2023-03_SwC_stereo-BRUVs,40,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,12
2023-03_SwC_stereo-BRUVs,44,Physical,Relief,High,High (>3m),3,82003006,7
2023-03_SwC_stereo-BRUVs,44,Physical,Relief,High,Wall,4,82003007,13
2023-03_SwC_stereo-BRUVs,45,Physical,Relief,High,High (>3m),3,82003006,6
2023-03_SwC_stereo-BRUVs,45,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,20
2023-03_SwC_stereo-BRUVs,46,Physical,Relief,High,High (>3m),3,82003006,1
2023-03_SwC_stereo-BRUVs,46,Physical,Relief,High,Wall,4,82003007,25
2023-03_SwC_stereo-BRUVs,46,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2023-03_SwC_stereo-BRUVs,47,Physical,Relief,High,High (>3m),3,82003006,10
2023-03_SwC_stereo-BRUVs,5,Physical,Relief,High,Wall,4,82003007,19
2023-03_SwC_stereo-BRUVs,5,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2023-03_SwC_stereo-BRUVs,6,Physical,Relief,High,High (>3m),3,82003006,10
2023-03_SwC_stereo-BRUVs,6,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,7
2023-03_SwC_stereo-BRUVs,7,Physical,Relief,High,High (>3m),3,82003006,20
2023-03_SwC_stereo-BRUVs,8,Physical,Relief,High,High (>3m),3,82003006,15
2023-03_SwC_stereo-BRUVs,8,Physical,Relief,High,Wall,4,82003007,5
