Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
DR_Butlers_20,-41.96276428,148.3240106,20151203,11:45:00,Butlers,Fished,20,27,Justin Hulls,Yes,Yes,NA
DR_Butlers_21,-41.95885814,148.3205172,20151204,9:27:00,Butlers,Fished,21,24,Justin Hulls,Yes,Yes,NA
DR_Butlers_22,-41.96560719,148.3411534,20151202,13:55:00,Butlers,Fished,22,50,Justin Hulls,Yes,Yes,NA
DR_Butlers_23,-41.96307199,148.3384413,20151202,15:15:00,Butlers,Fished,23,50,Justin Hulls,Yes,Yes,NA
DR_Butlers_24,-41.96187328,148.3314818,20151203,11:25:00,Butlers,Fished,24,40,Justin Hulls,Yes,Yes,NA
DR_Butlers_25,-41.97433801,148.32835,20151202,12:20:00,Butlers,Fished,25,36,Justin Hulls,Yes,Yes,NA
DR_Butlers_26,-41.96574038,148.3285957,20151202,13:15:00,Butlers,Fished,26,35,Justin Hulls,Yes,Yes,NA
DR_Butlers_27,-41.96481035,148.3213905,20151204,8:00:00,Butlers,Fished,27,26,Justin Hulls,Yes,Yes,NA
DR_Butlers_28,-41.97150658,148.3122204,20151202,10:10:00,Butlers,Fished,28,23,Justin Hulls,Yes,Yes,NA
DR_Butlers_29,-41.96494583,148.3404575,20151203,12:58:00,Butlers,Fished,29,51,Justin Hulls,Yes,Yes,NA
DR_Butlers_30,-41.96527651,148.3395978,20151203,9:45:00,Butlers,Fished,30,47,Justin Hulls,Yes,Yes,NA
DR_Butlers_31,-41.9619284,148.3343577,20151203,11:58:00,Butlers,Fished,31,43,Justin Hulls,Yes,Yes,NA
DR_Butlers_32,-41.9673111,148.3326076,20151202,13:00:00,Butlers,Fished,32,35,Justin Hulls,Yes,Yes,NA
DR_Butlers_33,-41.95896148,148.3241197,20151204,8:13:00,Butlers,Fished,33,31,Justin Hulls,Yes,Yes,NA
DR_Butlers_34,-41.9692745,148.3174605,20151202,10:22:00,Butlers,Fished,34,27,Justin Hulls,Yes,Yes,NA
DR_Butlers_35,-41.96704243,148.3148404,20151202,10:30:00,Butlers,Fished,35,21,Justin Hulls,Yes,Yes,NA
DR_Butlers_36,-41.96595624,148.3414247,20151203,13:20:00,Butlers,Fished,36,51,Justin Hulls,Yes,Yes,NA
DR_Butlers_37,-41.96577253,148.3404166,20151203,12:12:00,Butlers,Fished,37,48,Justin Hulls,Yes,Yes,NA
DR_Butlers_38,-41.96209374,148.3322699,20151203,7:55:00,Butlers,Fished,38,41,Justin Hulls,Yes,Yes,NA
DR_Butlers_39,-41.97822348,148.3293871,20151202,12:40:00,Butlers,Fished,39,37,Justin Hulls,Yes,Yes,NA
DR_Butlers_40,-41.96987386,148.3231099,20151202,11:35:00,Butlers,Fished,40,32,Justin Hulls,Yes,Yes,NA
DR_Butlers_41,-41.9662984,148.3207355,20151203,13:45:00,Butlers,Fished,41,28,Justin Hulls,Yes,Yes,NA
DR_Butlers_42,-41.98043489,148.3085086,20151202,11:08:00,Butlers,Fished,42,23,Justin Hulls,Yes,Yes,NA
DR_Butlers_43,-41.96314548,148.3386409,20151203,11:35:00,Butlers,Fished,43,51,Justin Hulls,Yes,Yes,NA
DR_Butlers_44,-41.96189165,148.3345829,20151203,8:00:00,Butlers,Fished,44,45,Justin Hulls,Yes,Yes,NA
DR_Butlers_45,-41.9656623,148.3363637,20151202,15:30:00,Butlers,Fished,45,40,Justin Hulls,Yes,Yes,NA
DR_Butlers_46,-41.96631907,148.3350639,20151203,9:00:00,Butlers,Fished,46,37,Justin Hulls,Yes,Yes,NA
DR_Butlers_47,-41.96094555,148.32442,20151203,14:42:00,Butlers,Fished,47,32,Justin Hulls,Yes,Yes,NA
DR_Butlers_48,-41.96127623,148.3233556,20151203,13:35:00,Butlers,Fished,48,28,Justin Hulls,Yes,Yes,NA
DR_Butlers_49,-41.95737009,148.3198622,20151204,8:07:00,Butlers,Fished,49,23,Justin Hulls,Yes,Yes,NA
DR_Butlers_50,-41.96501932,148.340565,20151203,8:12:00,Butlers,Fished,50,50,Justin Hulls,Yes,Yes,NA
DR_Butlers_51,-41.96358638,148.3387176,20151203,9:10:00,Butlers,Fished,51,48,Justin Hulls,Yes,Yes,NA
DR_Butlers_52,-41.96194677,148.3320856,20151203,9:22:00,Butlers,Fished,52,41,Justin Hulls,Yes,Yes,NA
DR_Butlers_53,-41.96383898,148.3317888,20151203,7:50:00,Butlers,Fished,53,37,Justin Hulls,Yes,Yes,NA
DR_Butlers_54,-41.98084824,148.3207082,20151202,10:53:00,Butlers,Fished,54,30,Justin Hulls,Yes,Yes,NA
DR_Butlers_55,-41.95654339,148.3214997,20151204,9:37:00,Butlers,Fished,55,26,Justin Hulls,Yes,Yes,NA
DR_Butlers_56,-41.96183424,148.3194255,20151204,9:20:00,Butlers,Fished,56,23,Justin Hulls,Yes,Yes,NA
DR_Butlers_57,-41.96518466,148.3413837,20151203,14:10:00,Butlers,Fished,57,53,Justin Hulls,Yes,Yes,NA
DR_Butlers_58,-41.96259435,148.3375713,20151203,8:10:00,Butlers,Fished,58,50,Justin Hulls,Yes,Yes,NA
DR_Butlers_59,-41.96178143,148.3331551,20151203,13:10:00,Butlers,Fished,59,43,Justin Hulls,Yes,Yes,NA
DR_Butlers_60,-41.96455545,148.3337948,20151202,14:48:00,Butlers,Fished,60,37,Justin Hulls,Yes,Yes,NA
DR_Butlers_61,-41.98078624,148.3243108,20151202,12:05:00,Butlers,Fished,61,34,Justin Hulls,Yes,Yes,NA
DR_Butlers_62,-41.96695976,148.321718,20151202,11:20:00,Butlers,Fished,62,28,Justin Hulls,Yes,Yes,NA
DR_Butlers_63,-41.9595195,148.3185521,20151204,8:18:00,Butlers,Fished,63,21,Justin Hulls,Yes,Yes,NA
