OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
HP_106	0	HP_106_L1.1.MP4	18536	HP_106_R1.1.MP4	18465	10.30808	Timeseabed	0.15182	-723.73787	722.71038	-3924.55248	4.40029	4.76113	22.53651	3.12819	4055.64039	14.15071	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_108	1	HP_108_L1.1.MP4	4974	HP_108_R1.1.MP4	6084	2.7661	Timeseabed	0	641.48498	11.6869	-4649.27285	4.79808	2.32327	31.76897	11.0014	4693.33331	7.87797	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_109	1	HP_109_L1.1.MP4	12391	HP_109_R1.1.MP4	11775	6.89077	Timeseabed	0.01502	1010.5163	83.42792	-6533.96844	9.91338	3.65243	62.49568	7.313	6612.17415	8.79099	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_111	5	HP_111_L1.1.MP4	28055	HP_111_R1.1.MP4	26969	15.6017	Timeseabed	5.07062	-551.8485	16.83774	-2294.36921	2.06947	1.12479	7.87399	1.63274	2359.86236	13.52612	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_112	14	HP_112_L1.1.MP4	53433	HP_112_R1.1.MP4	52384	29.71468	Timeseabed	24.07294	187.37637	-74.70361	-2412.30998	1.34043	1.18554	8.68086	0.04196	2420.72923	5.0989	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_113	1	HP_113_L1.1.MP4	4145	HP_113_R1.1.MP4	3214	2.30508	Timeseabed	0	388.06418	316.80159	-4991.24871	3.64345	3.53523	36.62432	9.14482	5016.32543	5.4617	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_115	1	HP_115_L1.1.MP4	14392	HP_115_R1.1.MP4	13914	8.00355	Timeseabed	0	243.58387	-79.5685	-4985.05419	2.95423	2.46964	36.45717	1.25178	4991.63596	3.36239	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_173	15	HP_173_L1.1.MP4	42893	HP_173_R1.1.MP4	42909	23.85327	Timeseabed	20.37257	826.37799	791.9333	-5604.32422	7.1149	7.36631	45.98293	2.62872	5720.00952	11.88972	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_174	1	HP_174_L1.1.MP4	11108	HP_174_R1.1.MP4	11106	6.17728	Timeseabed	0.59448	-667.9843	1786.45138	-6552.44033	6.84448	17.81994	61.60071	4.32317	6824.37439	15.54089	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_175	45	HP_175_L1.1.MP4	59417	HP_175_R1.1.MP4	59229	33.04245	Timeseabed	23.89776	1900.41783	933.11233	-5138.20398	13.81729	7.60526	38.25395	4.65366	5557.28592	22.61529	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_176	1	HP_176_L1.1.MP4	9365	HP_176_R1.1.MP4	9352	5.20798	Timeseabed	0.00667	-43.58865	501.93357	-7250.00796	3.48107	6.77158	76.55908	3.64152	7267.49287	3.5821	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_177	1	HP_177_L1.1.MP4	4853	HP_177_R1.1.MP4	4857	2.69881	Timeseabed	0.03059	2243.23841	-1451.39361	-8941.99657	28.96974	17.81745	116.92655	36.6796	9332.62904	17.07985	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_19	1	HP-19L_1.1.MP4	4327	HP-19R_1.1.MP4	5051	2.40629	Timeseabed	0	-1196.17194	974.38934	-3670.66835	6.26426	5.55095	19.55462	1.73496	3981.71672	22.51975	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_2	3	HP_2_L1.1.MP4	21456	HP_2_R1.1.MP4	12326	11.93192	Timeseabed	1.35135	678.26637	-90.53881	-2154.7967	2.29905	1.07417	7.05469	1.31686	2260.83864	17.7231	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_20	1	HP-20L_1.1.MP4	24559	HP-20R_1.1.MP4	24560	13.65753	Timeseabed	0	-163.67151	943.58196	-6372.50269	3.37921	9.94292	59.29923	0.51325	6444.06128	7.87935	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_52	1	HP_52_L1.1.MP4	31313	HP_52_R1.1.MP4	31192	17.41351	Timeseabed	0.01168	-583.36919	621.94303	-5692.16251	5.41781	6.40957	47.08551	23.33949	5755.67952	9.1136	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_54	9	HP_54_L1.1.MP4	28815	HP_54_R1.1.MP4	29784	16.02434	Timeseabed	7.0248	164.18532	1035.62211	-4406.04047	2.3475	7.17653	28.4944	7.30891	4529.09071	12.94846	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_55	54	HP_55_L1.1.MP4	52844	HP_55_R1.1.MP4	52584	29.38714	Timeseabed	25.00387	-1147.53892	698.95384	-4806.94649	8.04438	5.62098	33.55895	1.1839	4991.20392	15.8791	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_56	1	HP_56_L1.1.MP4	9983	HP_56_R1.1.MP4	10043	5.55166	Timeseabed	0	-674.56764	268.28668	-4492.43626	4.76737	2.91262	29.58961	0.90725	4550.71454	9.04091	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
HP_57	0	HP_57_L1.1.MP4	24052	HP_57_R1.1.MP4	24308	13.37558	Timeseabed	4.11745	-142.90776	324.97539	-5150.73754	2.69231	3.90382	38.84313	1.36229	5162.95737	3.23183	NA	NA	NA	NA	0	NA	NA	Max distance	NA	NA
