Sample,Latitude,Longitude,Time,Status,Depth,Successful.count,Successful.length,max.distance,Date,Observer_count,Observer_length,Observer,Site,Location
HM_158,-33.76014,151.32307,13:45:00,Fished,19.1,Yes,Yes,1960.466,20190724,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS24,Long Reef
HM_159,-33.759155,151.354064,9:11:00,Fished,35,Yes,No,2369.452,20190723,Marty Hing,Marty Hing,Marty Hing,AS26,Long Reef
HM_160,-33.758357,151.333555,15:43:00,Fished,24.5,Yes,Yes,8556.969,20190724,Marty Hing,Marty Hing,Marty Hing,AS25,Long Reef
HM_161,-33.754332,151.326301,13:56:00,Fished,21.9,Yes,Yes,7047.821,20190724,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS24,Long Reef
HM_162,-33.753788,151.335563,15:02:00,Fished,18.4,Yes,Yes,4399.136,20190724,Marty Hing,Marty Hing,Marty Hing,AS25,Long Reef
HM_163,-33.753703,151.346817,9:02:00,Fished,30.4,Yes,Yes,6559.255,20190723,Marty Hing,Marty Hing,Marty Hing,AS26,Long Reef
HM_164,-33.75252,151.357162,9:22:00,Fished,36.8,Yes,Yes,3703.47,20190723,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS26,Long Reef
HM_165,-33.751033,151.33188,8:50:00,Fished,26.4,Yes,Yes,9433.026,20190723,Marty Hing,Marty Hing,Marty Hing,S31,Long Reef
HM_166,-33.749987,151.341988,9:33:00,Fished,23.6,Yes,Yes,2565.899,20190723,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S30,Long Reef
HP_94,-33.749035,151.337054,14:02:00,Fished,22.8,Yes,Yes,NA,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S31,Long Reef
HM_167,-33.745054,151.335161,10:32:00,Fished,23.2,Yes,Yes,9849.228,20190723,Marty Hing,Marty Hing,Marty Hing,S31,Long Reef
HM_168,-33.744312,151.341504,9:42:00,Fished,27.6,Yes,Yes,6801.064,20190723,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S30,Long Reef
HM_169,-33.74228,151.345116,9:56:00,Fished,31.8,Yes,Yes,8923.933,20190723,Marty Hing,Marty Hing,Marty Hing,S30,Long Reef
HM_170,-33.741384,151.335334,10:20:00,Fished,27.2,Yes,Yes,8702.793,20190723,Marty Hing,Marty Hing,Marty Hing,S31,Long Reef
HM_171,-33.738044,151.340799,12:17:00,Fished,35.9,Yes,Yes,6912.688,20190723,Marty Hing,Marty Hing,Marty Hing,S30,Long Reef
HM_172,-33.736631,151.329784,13:22:00,Fished,25.1,Yes,Yes,10648.316,20190723,Marty Hing,Marty Hing,Marty Hing,S31,Long Reef
HP_97,-33.73649,151.337917,14:11:00,Fished,31.1,Yes,Yes,4627.911,20190517,Daniel Swadling,Daniel Swadling,Daniel Swadling,S30,Long Reef
HM_173,-33.735015,151.333931,12:25:00,Fished,29.4,Yes,Yes,7545.515,20190723,Marty Hing,Marty Hing,Marty Hing,S31,Long Reef
HM_174,-33.731922,151.320707,13:12:00,Fished,20.8,Yes,Yes,8189.51,20190723,Marty Hing,Marty Hing,Marty Hing,AS27,Long Reef
HM_175,-33.72889,151.332419,12:32:00,Fished,30.8,Yes,Yes,9911.122,20190723,Marty Hing,Marty Hing,Marty Hing,AS27,Long Reef
HM_176,-33.720522,151.328663,12:41:00,Fished,28.5,Yes,Yes,3717.84,20190723,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS27,Long Reef
HM_177,-33.719526,151.322508,12:49:00,Fished,21.4,Yes,Yes,5987.097,20190723,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS27,Long Reef
HM_178,-33.714491,151.316888,13:01:00,Fished,16,Yes,Yes,3878.476,20190723,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS28,Long Reef
HM_179,-33.703276,151.324338,14:18:00,Fished,18.3,Yes,Yes,4359.748,20190725,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS28,Long Reef
HM_180,-33.695252,151.329817,14:07:00,Fished,22.4,Yes,Yes,5710.515,20190725,Marty Hing,Marty Hing,Marty Hing,S32,Mona Vale
HM_181,-33.689208,151.330646,13:58:00,Fished,22.9,Yes,Yes,6592.58,20190725,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S32,Mona Vale
HM_182,-33.683429,151.33567,13:51:00,Fished,31.7,Yes,Yes,4128.324,20190725,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S32,Mona Vale
HM_183,-33.674995,151.331553,13:42:00,Fished,21.6,Yes,No,8000,20190725,Marty Hing,Marty Hing,Marty Hing,S32,Mona Vale
HM_184,-33.66594,151.33853,13:33:00,Fished,24.1,Yes,Yes,6298.477,20190725,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S33,Mona Vale
HM_185,-33.658183,151.344274,9:01:00,Fished,28.4,Yes,Yes,8959.214,20190725,Daniel Swadling,Daniel Swadling,Daniel Swadling,S33,Mona Vale
HM_186,-33.648115,151.341982,9:12:00,Fished,18.6,Yes,No,9333.333333,20190725,Marty Hing,Marty Hing,Marty Hing,S33,Mona Vale
HM_188,-33.635201,151.353226,9:42:00,Fished,28.1,Yes,Yes,4948.839,20190725,Marty Hing,Marty Hing,Marty Hing,S34,Avalon
HM_187,-33.634927,151.345734,9:22:00,Fished,23.2,Yes,Yes,5957.921,20190725,Matthew Hammond,Matthew Hammond,Matthew Hammond,S34,Avalon
HP_104,-33.634542,151.346105,14:13:00,Fished,22.8,Yes,Yes,6094.345,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S34,Avalon
HP_106,-33.634494,151.346014,14:20:00,Fished,23.2,Yes,Yes,4055.64,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S34,Avalon
HP_105,-33.63309,151.352287,14:05:00,Fished,29.3,Yes,Yes,6373.739,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S34,Avalon
HM_189,-33.623124,151.357958,9:51:00,Fished,32,Yes,Yes,3729.515,20190725,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S34,Avalon
HM_190,-33.611416,151.344406,10:08:00,Fished,22.3,Yes,Yes,2360.647,20190725,Matthew Hammond,Matthew Hammond,Matthew Hammond,S35,Avalon
HM_191,-33.600087,151.349526,10:17:00,Fished,28.1,Yes,Yes,6000.383,20190725,Marty Hing,Marty Hing,Marty Hing,S35,Avalon
HP_107,-33.600034,151.345314,15:09:00,Fished,23.1,Yes,Yes,2434.018,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S35,Avalon
HM_192,-33.597213,151.337321,10:29:00,Fished,21.3,Yes,Yes,5456.185,20190725,Daniel Swadling,Daniel Swadling,Daniel Swadling,S35,Avalon
HM_193,-33.58314,151.340494,10:42:00,Fished,20.5,Yes,Yes,6568.369,20190725,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS29,Avalon
HP_108,-33.583051,151.340421,15:19:00,Fished,18.8,Yes,Yes,4693.333,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS29,Avalon
HM_195,-33.552602,151.396172,14:12:00,Fished,23.2,Yes,Yes,6520.819,20190828,Marty Hing,Marty Hing,Marty Hing,S37,Hawkesbury
HM_194,-33.552042,151.367986,14:02:00,Fished,21.7,Yes,Yes,4399.906,20190828,Marty Hing,Marty Hing,Marty Hing,S36,Hawkesbury
HP_109,-33.550498,151.404186,11:36:00,Fished,26.5,Yes,Yes,6612.174,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S37,Hawkesbury
HM_196,-33.546861,151.398657,14:20:00,Fished,17.3,Yes,Yes,6399.173,20190828,Marty Hing,Marty Hing,Marty Hing,S37,Hawkesbury
HP_113,-33.546351,151.400948,11:41:00,Fished,20.8,Yes,Yes,5016.325,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S37,Hawkesbury
HP_111,-33.545694,151.372347,11:17:00,Fished,20.5,Yes,Yes,2359.862,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,S36,Hawkesbury
HM_197,-33.545533,151.368445,13:47:00,Fished,21.1,Yes,Yes,5020.51,20190828,Marty Hing,Marty Hing,Marty Hing,S36,Hawkesbury
HM_198,-33.544335,151.386816,14:54:00,Fished,20.1,Yes,Yes,5630.681,20190828,Marty Hing,Marty Hing,Marty Hing,AS30,Hawkesbury
HP_112,-33.542924,151.376322,11:25:00,Fished,19.2,Yes,Yes,2420.729,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS30,Hawkesbury
HM_199,-33.540973,151.407747,14:30:00,Fished,23.4,Yes,Yes,10883.825,20190828,Marty Hing,Marty Hing,Marty Hing,AS31,Hawkesbury
HM_200,-33.534877,151.417518,12:29:00,Fished,25.7,Yes,Yes,8503.064,20190828,Marty Hing,Marty Hing,Marty Hing,AS31,Hawkesbury
HM_201,-33.531696,151.406596,14:40:00,Fished,18.1,Yes,Yes,7729.748,20190828,Marty Hing,Marty Hing,Marty Hing,AS31,Hawkesbury
HM_202,-33.529497,151.424386,12:21:00,Fished,30.6,Yes,Yes,2770.784,20190828,Marty Hing,Marty Hing,Marty Hing,S38,Copacabana
HM_203,-33.52494,151.420754,12:12:00,Fished,21.9,Yes,Yes,5408.353,20190828,Marty Hing,Marty Hing,Marty Hing,S38,Copacabana
HP_178,-33.523859,151.420662,12:28:00,Fished,20.1,Yes,No,7333.333333,20190506,Marty Hing,Marty Hing,Marty Hing,S38,Copacabana
HP_114,-33.521289,151.429571,11:57:00,Fished,32.7,Yes,Yes,4642.102,20190516,Marty Hing,Marty Hing,Marty Hing,S38,Copacabana
HM_204,-33.519984,151.426589,12:06:00,Fished,29.8,Yes,Yes,5685.269,20190828,Marty Hing,Marty Hing,Marty Hing,S38,Copacabana
HM_205,-33.512233,151.432901,11:57:00,Fished,31.1,Yes,Yes,5540.296,20190828,Marty Hing,Marty Hing,Marty Hing,AS32,Copacabana
HP_115,-33.511892,151.430368,12:08:00,Fished,26.9,Yes,Yes,4991.636,20190516,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS32,Copacabana
HP_116,-33.507812,151.43526,12:15:00,Fished,26.7,Yes,No,7500,20190516,Marty Hing,Marty Hing,Marty Hing,AS32,Copacabana
HM_206,-33.504852,151.436056,11:47:00,Fished,26.6,Yes,Yes,5944.743,20190828,Marty Hing,Marty Hing,Marty Hing,AS32,Copacabana
HM_207,-33.495015,151.442746,9:19:00,Fished,23.2,Yes,Yes,7510.005,20190828,Marty Hing,Marty Hing,Marty Hing,S39,Copacabana
HM_208,-33.489002,151.447732,9:28:00,Fished,21.9,Yes,Yes,5026.656,20190828,Marty Hing,Marty Hing,Marty Hing,S39,Copacabana
HM_209,-33.483245,151.4537,9:37:00,Fished,29.9,Yes,Yes,11003.389,20190828,Marty Hing,Marty Hing,Marty Hing,S39,Copacabana
HM_210,-33.47899,151.448925,10:13:00,Fished,20.8,Yes,Yes,5450.553,20190828,Marty Hing,Marty Hing,Marty Hing,AS33,Copacabana
HM_211,-33.477415,151.456895,10:22:00,Fished,32.9,Yes,Yes,6570.995,20190828,Marty Hing,Marty Hing,Marty Hing,AS33,Copacabana
HM_212,-33.472815,151.453418,10:34:00,Fished,25.5,Yes,Yes,8574.179,20190828,Marty Hing,Marty Hing,Marty Hing,AS33,Copacabana
HM_213,-33.454398,151.47201,9:21:00,Fished,40,Yes,Yes,5652.929,20190814,Matthew Hammond,Matthew Hammond,Matthew Hammond,S43,Terrigal
HM_214,-33.454282,151.46497,9:31:00,Fished,39,Yes,Yes,13193.981,20190814,Marty Hing,Marty Hing,Marty Hing,S43,Terrigal
HM_215,-33.450052,151.454308,9:46:00,Fished,25,Yes,Yes,5514.552,20190814,Marty Hing,Marty Hing,Marty Hing,S42,Terrigal
HM_216,-33.44516,151.476213,10:19:00,Fished,41,Yes,Yes,4182.517,20190814,Marty Hing,Marty Hing,Marty Hing,S42,Terrigal
HM_217,-33.444508,151.461169,10:07:00,Fished,31,Yes,Yes,8304.607,20190814,Marty Hing,Marty Hing,Marty Hing,S42,Terrigal
HM_218,-33.440175,151.455662,9:53:00,Fished,24,Yes,No,6166.666667,20190814,Marty Hing,Marty Hing,Marty Hing,AS34,Terrigal
HM_219,-33.439121,151.465091,11:19:00,Fished,31,Yes,No,6500,20190814,Marty Hing,Marty Hing,Marty Hing,AS34,Terrigal
HM_220,-33.436542,151.504936,11:42:00,Fished,42,Yes,Yes,4249.874,20190814,Marty Hing,Marty Hing,Marty Hing,AS35,Terrigal
HM_221,-33.434201,151.483247,11:30:00,Fished,36,Yes,No,6833.333333,20190814,Marty Hing,Marty Hing,Marty Hing,AS35,Terrigal
HM_222,-33.425492,151.478775,11:54:00,Fished,30,Yes,Yes,5828.827,20190814,Marty Hing,Marty Hing,Marty Hing,S40,Terrigal
HM_223,-33.424691,151.48707,11:49:00,Fished,33,Yes,Yes,6407.207,20190814,Marty Hing,Marty Hing,Marty Hing,AS36,Terrigal
HM_224,-33.424102,151.46844,12:04:00,Fished,20,Yes,Yes,5553.627,20190814,Marty Hing,Marty Hing,Marty Hing,S40,Terrigal
HM_225,-33.418834,151.4888,13:31:00,Fished,31,Yes,No,4662.022,20190814,Marty Hing,Marty Hing,Marty Hing,AS36,Terrigal
HM_226,-33.417934,151.473418,13:21:00,Fished,18,Yes,Yes,4369.548,20190814,Marty Hing,Marty Hing,Marty Hing,S40,Terrigal
HM_227,-33.417002,151.500001,13:38:00,Fished,30,Yes,Yes,6216.829,20190814,Marty Hing,Marty Hing,Marty Hing,S41,Terrigal
HM_230,-33.411693,151.491089,14:07:00,Fished,32,Yes,Yes,4104.253,20190814,Marty Hing,Marty Hing,Marty Hing,S41,Terrigal
HM_228,-33.411538,151.510526,13:45:00,Fished,41,Yes,Yes,5106.077,20190814,Marty Hing,Marty Hing,Marty Hing,S41,Terrigal
HM_229,-33.41058,151.499087,13:55:00,Fished,32,Yes,Yes,5384.894,20190814,Marty Hing,Marty Hing,Marty Hing,S41,Terrigal
HM_232,-33.374772,151.520613,9:07:00,Fished,22,Yes,Yes,6555.245,20190815,Marty Hing,Marty Hing,Marty Hing,AS37,The Entrance
HM_233,-33.372393,151.510226,8:59:00,Fished,27,Yes,Yes,5281.791,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS37,The Entrance
HM_234,-33.372166,151.533922,9:14:00,Fished,27,Yes,Yes,3344.889,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS37,The Entrance
HM_235,-33.367388,151.515134,9:45:00,Fished,17,Yes,Yes,6476.895,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS37,The Entrance
HM_236,-33.365014,151.541951,9:24:00,Fished,30,Yes,Yes,6479.866,20190815,Marty Hing,Marty Hing,Marty Hing,AS37,The Entrance
HM_237,-33.362892,151.525659,9:37:00,Fished,19,Yes,Yes,6858.341,20190815,Marty Hing,Marty Hing,Marty Hing,S45,The Entrance
HM_238,-33.360711,151.516501,10:42:00,Fished,18,Yes,Yes,7816.701,20190815,Marty Hing,Marty Hing,Marty Hing,S45,The Entrance
HM_239,-33.360505,151.54413,10:59:00,Fished,30,Yes,Yes,6040.211,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,S44,The Entrance
HM_240,-33.359788,151.53606,10:52:00,Fished,18,Yes,Yes,7193.719,20190815,Marty Hing,Marty Hing,Marty Hing,S44,The Entrance
HM_241,-33.353697,151.523011,11:25:00,Fished,18,Yes,No,7333.333333,20190815,Marty Hing,Marty Hing,Marty Hing,S45,The Entrance
HM_242,-33.352528,151.538506,11:04:00,Fished,23,Yes,Yes,4300.516,20190815,Marty Hing,Marty Hing,Marty Hing,S44,The Entrance
HM_243,-33.35024,151.536155,11:17:00,Fished,23,Yes,Yes,5247.572,20190815,Marty Hing,Marty Hing,Marty Hing,S44,The Entrance
HM_244,-33.349982,151.517596,12:23:00,Fished,23,Yes,Yes,2951.74,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,S45,The Entrance
HM_245,-33.344942,151.514885,12:28:00,Fished,18,Yes,Yes,6638.179,20190815,Marty Hing,Marty Hing,Marty Hing,AS38,The Entrance
HM_246,-33.343906,151.533922,12:42:00,Fished,24,Yes,Yes,5076.171,20190815,Marty Hing,Marty Hing,Marty Hing,AS38,The Entrance
HM_247,-33.341846,151.527509,12:37:00,Fished,26,Yes,Yes,5596.393,20190815,Marty Hing,Marty Hing,Marty Hing,AS38,The Entrance
HM_248,-33.339053,151.543029,12:48:00,Fished,25,Yes,Yes,5526.184,20190815,Marty Hing,Marty Hing,Marty Hing,AS38,The Entrance
HM_249,-33.332151,151.56216,13:36:00,Fished,25,Yes,Yes,5248.37,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS39,Norah Hd
HM_250,-33.328929,151.564209,13:41:00,Fished,20,Yes,Yes,6881.719,20190815,Marty Hing,Marty Hing,Marty Hing,AS39,Norah Hd
HM_251,-33.324751,151.569802,13:49:00,Fished,21,Yes,Yes,6356.25,20190815,Marty Hing,Marty Hing,Marty Hing,AS39,Norah Hd
HM_252,-33.323613,151.573799,13:56:00,Fished,29,Yes,Yes,3198.859,20190815,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS39,Norah Hd
HM_253,-33.323229,151.55914,14:03:00,Fished,27,Yes,Yes,5877.526,20190815,Matt Rees,Matt Rees,Matt Rees,AS39,Norah Hd
HM_254,-33.320567,151.567924,8:56:00,Fished,17,Yes,Yes,9780.897,20190816,Matt Rees,Matt Rees,Matt Rees,S46,Norah Hd
HM_255,-33.316795,151.574587,9:05:00,Fished,27,Yes,Yes,7997.304,20190816,Marty Hing,Marty Hing,Marty Hing,S46,Norah Hd
HM_256,-33.315297,151.578765,9:10:00,Fished,25,Yes,Yes,8124.862,20190816,Matt Rees,Matt Rees,Matt Rees,S46,Norah Hd
HM_257,-33.314277,151.584742,9:16:00,Fished,40,Yes,No,7166.666667,20190816,Matt Rees,Matt Rees,Matt Rees,S46,Norah Hd
HM_259,-33.30808,151.57667,9:27:00,Fished,28,Yes,Yes,5008.441,20190816,Matt Rees,Matt Rees,Matt Rees,S46,Norah Hd
HM_261,-33.306551,151.587766,10:34:00,Fished,35,Yes,No,5833.333333,20190816,Marty Hing,Marty Hing,Marty Hing,AS40,Norah Hd
HM_262,-33.303084,151.596193,10:51:00,Fished,38,Yes,Yes,6389.774,20190816,Matt Rees,Matt Rees,Matt Rees,AS40,Norah Hd
HM_263,-33.303053,151.585412,10:27:00,Fished,29,Yes,Yes,6934.623,20190816,Matt Rees,Matt Rees,Matt Rees,AS40,Norah Hd
HM_264,-33.299644,151.590188,11:16:00,Fished,35,Yes,Yes,4787.745,20190816,Matt Rees,Matt Rees,Matt Rees,AS40,Norah Hd
HM_265,-33.297105,151.599419,10:59:00,Fished,41,Yes,Yes,5741.55,20190816,Marty Hing,Marty Hing,Marty Hing,S47,Norah Hd
HM_267,-33.290902,151.598705,12:05:00,Fished,33,Yes,Yes,9020.187,20190816,Matt Rees,Matt Rees,Matt Rees,S47,Norah Hd
HM_268,-33.283062,151.599367,12:12:00,Fished,33,Yes,Yes,7297.805,20190816,Matt Rees,Matt Rees,Matt Rees,S47,Norah Hd
HM_269,-33.27208,151.601153,12:18:00,Fished,38,Yes,Yes,5164.869,20190816,Matt Rees,Matt Rees,Matt Rees,S47,Norah Hd
HM_271,-33.237525,151.616193,12:27:00,Fished,34,Yes,No,5166.666667,20190816,Marty Hing,Marty Hing,Marty Hing,S48,Bird Island
HM_272,-33.23654,151.608084,12:40:00,Fished,30,Yes,Yes,8715.259,20190816,Matt Rees,Matt Rees,Matt Rees,S48,Bird Island
HM_273,-33.233875,151.604338,13:37:00,Fished,22,Yes,Yes,6188.768,20190816,Matt Rees,Matt Rees,Matt Rees,S48,Bird Island
HM_274,-33.232967,151.611864,13:41:00,Fished,29,Yes,No,7000,20190816,Matt Rees,Matt Rees,Matt Rees,S48,Bird Island
HM_276,-33.227524,151.610794,14:03:00,Fished,22,Yes,Yes,5910.736,20190816,Marty Hing,Marty Hing,Marty Hing,S48,Bird Island
HM_278,-33.22284,151.62166,13:49:00,Fished,33,Yes,Yes,10785.353,20190816,Matt Rees,Matt Rees,Matt Rees,S49,Bird Island
HM_280,-33.216401,151.614379,13:54:00,Fished,25,Yes,Yes,5693.669,20190816,Marty Hing,Marty Hing,Marty Hing,S49,Bird Island
HM_285,-33.161125,151.656534,9:38:00,Fished,29,Yes,Yes,5970.4,20190729,Marty Hing,Marty Hing,Marty Hing,AS41,Swansea
HM_286,-33.159544,151.646609,9:48:00,Fished,28,Yes,No,6333.333333,20190729,Matt Rees,Matt Rees,Matt Rees,AS41,Swansea
HM_287,-33.143232,151.661631,9:58:00,Fished,30,Yes,Yes,5197.488,20190729,Matt Rees,Matt Rees,Matt Rees,S50,Swansea
HM_288,-33.140214,151.657817,10:05:00,Fished,27,Yes,Yes,6182.058,20190729,Matt Rees,Matt Rees,Matt Rees,S50,Swansea
HM_289,-33.138459,151.653985,10:14:00,Fished,28,Yes,Yes,8084.903,20190729,Matt Rees,Matt Rees,Matt Rees,S50,Swansea
HM_290,-33.133792,151.663124,10:24:00,Fished,31,Yes,Yes,8023.139,20190729,Marty Hing,Marty Hing,Marty Hing,S50,Swansea
HM_291,-33.132561,151.650644,11:31:00,Fished,19,Yes,No,9000,20190729,Matt Rees,Matt Rees,Matt Rees,S50,Swansea
HM_292,-33.128277,151.65489,11:38:00,Fished,25,Yes,Yes,7472.078,20190729,Matt Rees,Matt Rees,Matt Rees,S50,Swansea
HM_293,-33.122708,151.665372,11:45:00,Fished,27,Yes,Yes,3928.524,20190729,Matt Rees,Matt Rees,Matt Rees,AS42,Swansea
HM_294,-33.118932,151.658141,11:52:00,Fished,22,Yes,Yes,6973.233,20190729,Matt Rees,Matt Rees,Matt Rees,AS42,Swansea
HM_295,-33.113972,151.666576,11:59:00,Fished,29,Yes,Yes,4912.955,20190729,Marty Hing,Marty Hing,Marty Hing,AS42,Swansea
HM_266,-33.107904,151.669309,14:23:00,Fished,31,Yes,Yes,6108.168,20190726,Marty Hing,Marty Hing,Marty Hing,AS42,Swansea
HM_297,-33.102762,151.669418,14:05:00,Fished,25,Yes,Yes,5587.606,20190726,Matt Rees,Matt Rees,Matt Rees,AS42,Swansea
HM_298,-33.095601,151.67447,13:52:00,Fished,28,Yes,Yes,3725.216,20190726,Matt Rees,Matt Rees,Matt Rees,S51,Swansea
HM_299,-33.088439,151.677949,13:46:00,Fished,26,Yes,Yes,4416.582,20190726,Matt Rees,Matt Rees,Matt Rees,S51,Swansea
HM_300,-33.023879,151.727998,12:35:00,Fished,30,Yes,Yes,5742.027,20190729,Marty Hing,Marty Hing,Marty Hing,AS43,Newcastle
HM_301,-33.020935,151.725495,12:27:00,Fished,21,Yes,Yes,3976.492,20190726,Matt Rees,Matt Rees,Matt Rees,AS43,Newcastle
HM_302,-33.013132,151.732353,12:18:00,Fished,19,Yes,Yes,2237.264,20190726,Matt Rees,Matt Rees,Matt Rees,AS43,Newcastle
HM_350,-33.0113,151.742353,12:02:00,Fished,26,Yes,Yes,3005.433,20190726,Marty Hing,Marty Hing,Marty Hing,AS43,Newcastle
HM_303,-33.008782,151.746957,12:04:00,Fished,28,Yes,Yes,2024.855,20190726,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS43,Newcastle
HM_304,-33.005925,151.736558,11:50:00,Fished,23,Yes,Yes,2230.882,20190726,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS43,Newcastle
HM_307,-32.959507,151.777267,10:13:00,Fished,24,Yes,Yes,2017.435,20190726,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS44,Newcastle
HM_308,-32.952672,151.782118,10:03:00,Fished,24,Yes,Yes,3945.765,20190726,Marty Hing,Marty Hing,Marty Hing,AS44,Newcastle
HM_309,-32.949381,151.773724,9:55:00,Fished,22,Yes,Yes,2189.837,20190726,Marty Hing,Marty Hing,Marty Hing,AS44,Newcastle
HM_310,-32.946075,151.786964,9:39:00,Fished,25,Yes,Yes,3960.182,20190726,Marty Hing,Marty Hing,Marty Hing,AS44,Newcastle
HM_312,-32.93661,151.794197,9:18:00,Fished,24,Yes,Yes,3572.836,20190726,Marty Hing,Marty Hing,Marty Hing,AS44,Newcastle
