Sample,Latitude,Longitude,Time,Status,Depth,Successful.count,Successful.length,max.distance,Date,Observer_count,Observer_length,Observer,Site,Location
HM_100,-34.105745,151.161089,9:05:00,Fished,23.6,Yes,No,11666.66667,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S13,Royal NP
HM_102,-34.085877,151.175199,8:40:00,Fished,23.1,Yes,Yes,7814.24,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S14,Royal NP
HM_101,-34.084978,151.177064,8:50:00,Fished,21.5,Yes,Yes,6235.441,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S14,Royal NP
HP_53,-34.08069,151.179303,11:49:00,Fished,22.6,Yes,Yes,6594.954,20190515,Marty Hing,Marty Hing,Marty Hing,S14,Royal NP
HP_54,-34.076296,151.181442,11:40:00,Fished,21.7,Yes,Yes,4529.091,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S14,Royal NP
HM_103,-34.061548,151.185982,10:02:00,Fished,19.4,Yes,Yes,4769.072,20190726,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS16,Cronulla
HP_55,-34.061048,151.186664,11:26:00,Fished,20,Yes,Yes,4991.204,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS16,Cronulla
HM_104,-34.05929,151.209385,10:18:00,Fished,35.2,Yes,Yes,6043.133,20190726,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,AS16,Cronulla
HM_105,-34.051158,151.197764,10:41:00,Fished,26.7,Yes,Yes,5619.433,20190726,Marty Hing,Marty Hing,Marty Hing,S15,Cronulla
HM_107,-34.047851,151.203138,10:33:00,Fished,21.1,Yes,Yes,6225.881,20190726,Marty Hing,Marty Hing,Marty Hing,S15,Cronulla
HP_56,-34.046631,151.216852,10:00:00,Fished,31.2,Yes,Yes,4550.715,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S16,Cronulla
HP_57,-34.04579,151.22237,9:52:00,Fished,35.1,Yes,Yes,5162.957,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S16,Cronulla
HP_173,-34.04421,151.214518,10:19:00,Fished,20.8,Yes,Yes,5720.01,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,S16,Cronulla
HM_108,-34.040813,151.225055,11:42:00,Fished,30.1,Yes,Yes,6744.137,20190710,Marty Hing,Marty Hing,Marty Hing,S16,Cronulla
HP_175,-34.036938,151.226555,14:47:00,Fished,25.2,Yes,Yes,5557.286,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS17,South Botany
HP_58,-34.036373,151.237548,9:39:00,Fished,47,Yes,Yes,5131.506,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS17,South Botany
HP_177,-34.034567,151.228233,15:05:00,Fished,23.5,Yes,Yes,9332.629,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS17,South Botany
HM_110,-34.032233,151.234951,15:21:00,Fished,40.5,Yes,Yes,4931.86,20190708,Marty Hing,Marty Hing,Marty Hing,AS17,South Botany
HP_59,-34.031211,151.234067,9:29:00,Fished,35.3,Yes,Yes,3916.467,20190515,Jason Jason Delamont,Jason Jason Delamont,Jason Jason Delamont,AS17,South Botany
HM_111,-34.028462,151.235388,15:13:00,Fished,33.5,Yes,Yes,4975.462,20190708,Matthew Hammond,Matthew Hammond,Matthew Hammond,AS17,South Botany
HP_176,-34.028452,151.231907,14:58:00,Fished,28.8,Yes,Yes,7267.493,20190515,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS17,South Botany
HP_60,-34.023619,151.239942,9:30:00,Fished,42,Yes,Yes,3220.099,20190514,Marty Hing,Marty Hing,Marty Hing,S17,South Botany
HM_112,-34.021625,151.235129,14:56:00,Fished,31.1,Yes,Yes,8871.199,20190808,Marty Hing,Marty Hing,Marty Hing,S17,South Botany
HM_113,-34.019924,151.237576,14:48:00,Fished,33.5,Yes,Yes,6866.173,20190708,Marty Hing,Marty Hing,Marty Hing,S17,South Botany
HP_61,-34.018671,151.235211,9:41:00,Fished,26.5,Yes,Yes,7234.781,20190514,Marty Hing,Marty Hing,Marty Hing,S17,South Botany
HM_114,-34.015188,151.238905,14:40:00,Fished,31,Yes,Yes,5311.028,20190708,Matthew Hammond,Matthew Hammond,Matthew Hammond,S18,South Botany
HP_62,-34.012906,151.236947,9:51:00,Fished,22.7,Yes,Yes,6172.134,20190514,Marty Hing,Marty Hing,Marty Hing,S18,South Botany
HM_115,-34.010206,151.236574,14:30:00,Fished,21.5,Yes,Yes,6834.146,20190708,Marty Hing,Marty Hing,Marty Hing,S18,South Botany
HP_63,-34.007966,151.251,10:25:00,Fished,26.7,Yes,Yes,5965.249,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S19,North Botany
HM_116,-34.006833,151.248394,11:43:00,Fished,23.4,Yes,Yes,5127.56,20190726,Matthew Hammond,Matthew Hammond,Matthew Hammond,S19,North Botany
HM_117,-34.005367,151.252164,11:50:00,Fished,27.1,Yes,Yes,5303.447,20190726,Matthew Hammond,Matthew Hammond,Matthew Hammond,S19,North Botany
HP_64,-34.005143,151.247197,10:14:00,Fished,18.3,Yes,Yes,5657.935,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S19,North Botany
HP_65,-34.002762,151.254541,10:35:00,Fished,30.5,Yes,Yes,4696.654,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S19,North Botany
HM_118,-34.002041,151.244526,14:15:00,Fished,18.5,Yes,Yes,2155.887,20190710,Marty Hing,Marty Hing,Marty Hing,S20,North Botany
HM_315,-34.000343,151.238713,14:20:00,Fished,20.9,Yes,Yes,5405.37,20190710,Lachlan Fetterplace,Lachlan Fetterplace,Lachlan Fetterplace,S20,North Botany
HP_66,-34.000148,151.238169,10:04:00,Fished,19.7,Yes,Yes,5135.263,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,S20,North Botany
HM_119,-33.999178,151.254753,12:45:00,Fished,31,Yes,Yes,7759.74,20190710,Marty Hing,Marty Hing,Marty Hing,AS18,North Botany
HP_67,-33.998103,151.253219,10:43:00,Fished,21.6,Yes,Yes,5088.309,20190514,Daniel Swadling,Daniel Swadling,Daniel Swadling,AS18,North Botany
HM_120,-33.994986,151.256918,12:50:00,Fished,31.3,Yes,Yes,2189.333,20190710,Marty Hing,Marty Hing,Marty Hing,AS18,North Botany
