Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,MarinePark,Location_name,MP Zoning,Rep_ID,Observer,Zone
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_2_3_Bullocky_20220803,-30.31761,153.19631,20220803,12:08:00,O1_2,O1,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Bullocky,Outside,O1_2_3,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O1_2_4_Bullocky_20220803,-30.31689,153.19384,20220803,12:14:00,O1_2,O1,Fished,26,Yes,Yes,KateSeinor,KateSeinor,SIMP,Bullocky,Outside,O1_2_4,KateSeinor,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_1_1_Patch_20220822,-30.43777,153.19834,20220822,9:18:00,O2_1,O2,Fished,32,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Patch,Outside,O2_1_1,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_1_2_Patch_20220822,-30.43954,153.1967,20220822,9:26:00,O2_1,O2,Fished,33,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Patch,Outside,O2_1_2,SarahChyriwsky,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_1_3_Patch_20220822,-30.43989,153.19891,20220822,9:31:00,O2_1,O2,Fished,33,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Patch,Outside,O2_1_3,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_2_1_Patch_20220819,-30.44883,153.19136,20220819,10:35:00,O2_2,O2,Fished,36,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Patch,Outside,O2_2_1,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_2_2_Patch_20220819,-30.45099,153.18965,20220819,10:45:00,O2_2,O2,Fished,37,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Patch,Outside,O2_2_2,SarahChyriwsky,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_2_3_Patch_20220819,-30.45247,153.18672,20220819,11:30:00,O2_2,O2,Fished,37,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Patch,Outside,O2_2_3,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O2_2_4_Patch_20220819,-30.44974,153.18648,20220819,11:35:00,O2_2,O2,Fished,37,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Patch,Outside,O2_2_4,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_1_1_BroomsHead_20221121,-29.59233,153.36491,20221121,10:06:00,O4_1,O4,Fished,27,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,BroomsHead,Outside,O4_1_1,HamishMalcolm,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_1_2_BroomsHead_20221121,-29.59229,153.3671,20221121,10:12:00,O4_1,O4,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,BroomsHead,Outside,O4_1_2,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_1_3_BroomsHead_20221121,-29.59043,153.36685,20221121,10:16:00,O4_1,O4,Fished,25,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,BroomsHead,Outside,O4_1_3,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_1_4_BroomsHead_20221121,-29.58861,153.36838,20221121,10:45:00,O4_1,O4,Fished,26,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,BroomsHead,Outside,O4_1_4,HamishMalcolm,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_2_1_BroomsHead_20221121,-29.58474,153.37448,20221121,11:24:00,O4_2,O4,Fished,25,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,BroomsHead,Outside,O4_2_1,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_2_2_BroomsHead_20221121,-29.58623,153.37462,20221121,12:16:00,O4_2,O4,Fished,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,BroomsHead,Outside,O4_2_2,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_2_3_BroomsHead_20221121,-29.58045,153.37439,20221121,11:34:00,O4_2,O4,Fished,30,Yes,No,ArtSchultz,,SIMP,BroomsHead,Outside,O4_2_3,ArtSchultz,OUTSIDE
2022-08-SIMP.intermediate.reef-stereoBRUVs,O4_2_4_BroomsHead_20221121,-29.57855,153.37488,20221121,12:05:00,O4_2,O4,Fished,30,Yes,No,ArtSchultz,,SIMP,BroomsHead,Outside,O4_2_4,ArtSchultz,OUTSIDE
