Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment
52 GRTS_16_reef,-40.787056,148.718472,20120814,9:20:00,Flinders.CMR,Fished,NA,98,Richard Zavalas,Yes,Yes,NA
78 GRTS_1_1,-40.51268,148.825211,20120812,10:15:00,Flinders.CMR,Fished,NA,140,Justin Hulls,Yes,Yes,NA
79 GRTS_1_1153,-40.509005,148.824975,20120812,10:21:00,Flinders.CMR,Fished,NA,140,Justin Hulls,Yes,Yes,NA
82 GRTS_1_2049,-40.515909,148.81649,20120812,10:45:00,Flinders.CMR,Fished,NA,140,Justin Hulls,Yes,Yes,NA
80 GRTS_1_2177,-40.507577,148.82152,20120812,10:30:00,Flinders.CMR,Fished,NA,140,Justin Hulls,Yes,Yes,NA
81 GRTS_1_577,-40.507035,148.817843,20120812,10:36:00,Flinders.CMR,Fished,NA,140,Justin Hulls,Yes,Yes,NA
13 GRTS_23_1047,-40.505785,148.621815,20120811,11:32:00,Flinders.CMR,Fished,NA,45,Richard Zavalas,Yes,Yes,NA
15 GRTS_23_1111,-40.515417,148.6288,20120811,11:44:00,Flinders.CMR,Fished,NA,45,Richard Zavalas,Yes,Yes,NA
12 GRTS_23_23,-40.508134,148.623789,20120811,11:27:00,Flinders.CMR,Fished,NA,45,Richard Zavalas,Yes,Yes,NA
16 GRTS_23_855,-40.508694,148.615614,20120811,11:53:00,Flinders.CMR,Fished,NA,45,Richard Zavalas,Yes,Yes,NA
14 GRTS_23_967,-40.507523,148.629579,20120811,11:38:00,Flinders.CMR,Fished,NA,45,Richard Zavalas,Yes,Yes,NA
100 GRTS_28_1052,-40.696379,148.724825,20120822,12:06:00,Flinders.CMR,Fished,NA,83,Richard Zavalas,Yes,Yes,NA
98 GRTS_28_28,-40.703817,148.725789,20120822,11:41:00,Flinders.CMR,Fished,NA,83,Richard Zavalas,Yes,Yes,NA
101 GRTS_28_284,-40.696421,148.731791,20120822,12:10:00,Flinders.CMR,Fished,NA,83,Richard Zavalas,Yes,Yes,NA
99 GRTS_28_348,-40.710649,148.721462,20120822,11:50:00,Flinders.CMR,Fished,NA,83,Richard Zavalas,Yes,Yes,NA
102 GRTS_28_972,-40.69928,148.734895,20120822,12:15:00,Flinders.CMR,Fished,NA,83,Richard Zavalas,Yes,Yes,NA
33 GRTS_2_1597,-40.592583,148.781594,20120812,14:09:00,Flinders.CMR,Fished,NA,160,Justin Hulls,Yes,Yes,NA
30 GRTS_2_2,-40.597889,148.786059,20120812,13:36:00,Flinders.CMR,Fished,NA,160,Justin Hulls,Yes,Yes,NA
34 GRTS_2_2045,-40.590193,148.7814,20120812,14:13:00,Flinders.CMR,Fished,NA,160,Justin Hulls,Yes,Yes,NA
32 GRTS_2_2109,-40.600348,148.776369,20120812,14:00:00,Flinders.CMR,Fished,NA,160,Justin Hulls,Yes,Yes,NA
31 GRTS_2_reef,-40.600654,148.78541,20120812,13:53:00,Flinders.CMR,Fished,NA,160,Justin Hulls,Yes,Yes,NA
105 GRTS_31_287,-40.832342,148.614779,20120822,15:19:00,Flinders.CMR,Fished,NA,79,Justin Hulls,Yes,Yes,NA
104 GRTS_31_31,-40.836627,148.613577,20120822,15:15:00,Flinders.CMR,Fished,NA,79,Justin Hulls,Yes,Yes,NA
106 GRTS_31_399,-40.831696,148.606177,20120822,15:24:00,Flinders.CMR,Fished,NA,79,Justin Hulls,Yes,Yes,NA
107 GRTS_31_95,-40.843103,148.607194,20120822,15:30:00,Flinders.CMR,Fished,NA,79,Justin Hulls,Yes,Yes,NA
67 GRTS_3_1027,-40.647752,148.617978,20120815,9:24:00,Flinders.CMR,Fished,NA,59,Justin Hulls,Yes,Yes,NA
64 GRTS_3_3,-40.652602,148.613925,20120815,9:00:00,Flinders.CMR,Fished,NA,59,Justin Hulls,Yes,Yes,NA
66 GRTS_3_420,-40.65599,148.622123,20120815,9:16:00,Flinders.CMR,Fished,NA,59,Justin Hulls,Yes,Yes,NA
65 GRTS_3_788,-40.656276,148.613522,20120815,9:09:00,Flinders.CMR,Fished,NA,59,Justin Hulls,Yes,Yes,NA
59 GRTS_4_255,-40.739624,148.615357,20120814,14:22:00,Flinders.CMR,Fished,NA,70,Justin Hulls,Yes,Yes,NA
60 GRTS_4_260,-40.746981,148.624173,20120814,14:30:00,Flinders.CMR,Fished,NA,70,Justin Hulls,Yes,Yes,NA
57 GRTS_4_4,-40.740184,148.621909,20120814,14:08:00,Flinders.CMR,Fished,NA,70,Justin Hulls,Yes,Yes,NA
58 GRTS_4_511,-40.734637,148.619733,20120814,14:19:00,Flinders.CMR,Fished,NA,70,Justin Hulls,Yes,Yes,NA
61 GRTS_4_991,-40.741372,148.627866,20120814,14:35:00,Flinders.CMR,Fished,NA,70,Justin Hulls,Yes,Yes,NA
7 GRTS_7_1031,-40.458102,148.626955,20120811,8:47:00,Flinders.CMR,Fished,NA,40,Justin Hulls,Yes,Yes,NA
10 GRTS_7_1351,-40.46544,148.630085,20120811,9:15:00,Flinders.CMR,Fished,NA,40,Justin Hulls,Yes,Yes,NA
9 GRTS_7_2119,-40.460796,148.621837,20120811,9:07:00,Flinders.CMR,Fished,NA,40,Justin Hulls,Yes,Yes,NA
6 GRTS_7_7,-40.457707,148.627378,20120810,20:39:00,Flinders.CMR,Fished,NA,40,Justin Hulls,Yes,Yes,NA
8 GRTS_7_775,-40.458814,148.627396,20120811,8:56:00,Flinders.CMR,Fished,NA,40,Justin Hulls,Yes,Yes,NA
21 Nev's canyonhead_169,-40.536967,148.798856,20120811,16:13:00,Flinders.CMR,Fished,NA,130,Justin Hulls,Yes,Yes,NA
18 Nev's canyonhead_5373,-40.543651,148.802472,20120811,15:44:00,Flinders.CMR,Fished,NA,165,Justin Hulls,Yes,Yes,NA
22 Nev's canyonhead_617,-40.538111,148.80838,20120811,16:28:00,Flinders.CMR,Fished,NA,185,Justin Hulls,Yes,Yes,NA
19 Nev's canyonhead_reef,-40.544945,148.803116,20120811,15:53:00,Flinders.CMR,Fished,NA,178,Justin Hulls,Yes,Yes,NA
85 Sth_Can_2_opportunistic,-40.611458,148.782533,20120817,15:43:00,Flinders.CMR,Fished,NA,190,Justin Hulls,Yes,Yes,NA
86 Sth_Can_3_opportunistic,-40.612738,148.778839,20120817,15:50:00,Flinders.CMR,Fished,NA,175,Justin Hulls,Yes,Yes,NA
87 Sth_Can_4_opportunistic,-40.615811,148.780646,20120817,15:55:00,Flinders.CMR,Fished,NA,200,Justin Hulls,Yes,Yes,NA
88 Sth_Can_5_opportunistic,-40.615042,148.785367,20120817,16:01:00,Flinders.CMR,Fished,NA,200,Justin Hulls,Yes,Yes,NA
