Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Comments
DB_075,-38.349512,141.3300381,20230312,9:43:00,Discovery Bay,No-take,Discovery Bay,54,Scott Gray,Yes,Yes,2023DB_075,2023,Lights
DB_076,-38.346169,141.3146394,20230311,14:20:00,Discovery Bay,No-take,Discovery Bay,54,Scott Gray,Yes,Yes,2023DB_076,2023,no bait arm
DB_077,-38.3872541,141.3517127,20230312,14:17:00,Discovery Bay,Fished,Discovery Bay,47,Scott Gray,Yes,Yes,2023DB_077,2023,No lights
DB_078,-38.3346009,141.332296,20230312,9:34:00,Discovery Bay,No-take,Discovery Bay,55,Scott Gray,Yes,Yes,2023DB_078,2023,
DB_079,-38.3649189,141.3414439,20230312,13:57:00,Discovery Bay,No-take,Discovery Bay,54,Scott Gray,Yes,Yes,2023DB_079,2023,No lights
DB_080,-38.3350815,141.3255308,20230311,14:33:00,Discovery Bay,No-take,Discovery Bay,53,Scott Gray,Yes,Yes,2023DB_080,2023,green water
DB_081,-38.3969245,141.3730382,20230313,9:34:00,Discovery Bay,Fished,Discovery Bay,38,Scott Gray,Yes,Yes,2023DB_081,2023,"No lights, good drop"
DB_082,-38.3839172,141.3505541,20230312,14:14:00,Discovery Bay,Fished,Discovery Bay,51,Scott Gray,Yes,Yes,2023DB_082,2023,No lights
DB_083,-38.3961704,141.3630447,20230312,14:29:00,Discovery Bay,Fished,Discovery Bay,38,Scott Gray,Yes,Yes,2023DB_083,2023,No lights
DB_084,-38.3894908,141.3117513,20230311,12:00:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_084,2023,
DB_085,-38.4001925,141.3096361,20230311,11:49:00,Discovery Bay,Fished,Discovery Bay,71,Scott Gray,Yes,Yes,2023DB_085,2023,
DB_086,-38.3739502,141.3323373,20230312,10:02:00,Discovery Bay,No-take,Discovery Bay,60,Scott Gray,Yes,Yes,2023DB_086,2023,
DB_087,-38.3945922,141.351995,20230312,14:21:00,Discovery Bay,Fished,Discovery Bay,64,Scott Gray,Yes,Yes,2023DB_087,2023,No lights
DB_088,-38.3867081,141.3380094,20230311,9:29:00,Discovery Bay,Fished,Discovery Bay,70,Scott Gray,Yes,Yes,2023DB_088,2023,snapper
DB_089,-38.3639303,141.3218242,20230311,14:10:00,Discovery Bay,No-take,Discovery Bay,59,Scott Gray,Yes,Yes,2023DB_089,2023,
DB_090,-38.363596,141.3124676,20230311,12:25:00,Discovery Bay,No-take,Discovery Bay,60,Scott Gray,Yes,Yes,2023DB_090,2023,
DB_091,-38.3817956,141.3060277,20230311,12:12:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_091,2023,
DB_092,-38.3741154,141.3160564,20230311,12:16:00,Discovery Bay,No-take,Discovery Bay,66,Scott Gray,Yes,Yes,2023DB_092,2023,Broken bait arm
DB_093,-38.3920742,141.3286702,20230311,9:51:00,Discovery Bay,Fished,Discovery Bay,62,Scott Gray,Yes,Yes,2023DB_093,2023,legacy site but too close to 109
DB_094,-38.398849,141.3236037,20230311,10:02:00,Discovery Bay,Fished,Discovery Bay,71,Scott Gray,Yes,Yes,2023DB_094,2023,
DB_095,-38.3715619,141.3116251,20230311,12:21:00,Discovery Bay,No-take,Discovery Bay,67,Scott Gray,Yes,Yes,2023DB_095,2023,
DB_096,-38.3878364,141.3235123,20230311,10:19:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_096,2023,
DB_097,-38.3769912,141.3382257,20230312,10:06:00,Discovery Bay,No-take,Discovery Bay,60,Scott Gray,Yes,Yes,2023DB_097,2023,
DB_098,-38.3933754,141.3301052,20230311,9:44:00,Discovery Bay,Fished,Discovery Bay,65,Scott Gray,Yes,Yes,2023DB_098,2023,snapper
DB_099,-38.3963005,141.3131923,20230311,11:53:00,Discovery Bay,Fished,Discovery Bay,74,Scott Gray,Yes,Yes,2023DB_099,2023,
DB_100,-38.381651,141.3156371,20230311,12:07:00,Discovery Bay,Fished,Discovery Bay,70,Scott Gray,Yes,Yes,2023DB_100,2023,"Broken bait arm, big gummy"
DB_101,-38.3721349,141.3268316,20230312,9:59:00,Discovery Bay,No-take,Discovery Bay,61,Scott Gray,Yes,Yes,2023DB_101,2023,No lights
DB_102,-38.3985779,141.3198081,20230311,10:07:00,Discovery Bay,Fished,Discovery Bay,72,Scott Gray,Yes,Yes,2023DB_102,2023,
DB_103,-38.3886499,141.3152264,20230311,12:03:00,Discovery Bay,Fished,Discovery Bay,70,Scott Gray,Yes,Yes,2023DB_103,2023,Nice  
DB_104,-38.3976312,141.327122,20230311,9:56:00,Discovery Bay,Fished,Discovery Bay,68,Scott Gray,Yes,Yes,2023DB_104,2023,
DB_105,-38.3708825,141.3385401,20230312,10:09:00,Discovery Bay,No-take,Discovery Bay,57,Scott Gray,Yes,Yes,2023DB_105,2023,
DB_106,-38.3934298,141.3089565,20230311,11:57:00,Discovery Bay,Fished,Discovery Bay,73,Scott Gray,Yes,Yes,2023DB_106,2023,Missing bag
DB_107,-38.394568,141.3231094,20230311,10:13:00,Discovery Bay,Fished,Discovery Bay,65,Scott Gray,Yes,Yes,2023DB_107,2023,
