Camera Details

Generated: Thursday 02 November 2023 13:59:30

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DB_010	Scott Gray	15	No lights	-38.3302549	141.3804642	13/03/2023	11:45	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93900	0.002850	0.002850	-301.452	0.000	0.000	0.206	-5.049	2.153
DB_010	Scott Gray	15	No lights	-38.3302549	141.3804642	13/03/2023	11:45	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94802	0.002850	0.002850	301.452	0.000	0.000	-0.206	4.972	0.005
DB_011	Scott Gray	13	No lights	-38.3162705	141.3754096	13/03/2023	11:34	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92366	0.002850	0.002850	-301.547	0.000	0.000	-0.323	-4.828	0.928
DB_011	Scott Gray	13	No lights	-38.3162705	141.3754096	13/03/2023	11:34	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94154	0.002850	0.002850	301.547	0.000	0.000	0.323	4.507	0.998
DB_012	Scott Gray	25	No lights	-38.325954	141.3675992	13/03/2023	11:53	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95194	0.002850	0.002850	-301.809	0.000	0.000	-0.265	-5.459	-0.618
DB_012	Scott Gray	25	No lights	-38.325954	141.3675992	13/03/2023	11:53	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92723	0.002850	0.002850	301.809	0.000	0.000	0.265	3.653	1.159
DB_013	Louisa Graf	20	No lights	-38.3175179	141.3706271	13/03/2023	11:58	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93492	0.002850	0.002850	-300.711	0.000	0.000	0.238	-5.123	0.866
DB_013	Louisa Graf	20	No lights	-38.3175179	141.3706271	13/03/2023	11:58	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93797	0.002850	0.002850	300.711	0.000	0.000	-0.238	5.260	0.601
DB_014	Scott Gray	17	No lights	-38.3865167	141.3700055	14/03/2023	14:00	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94094	0.002850	0.002850	-301.465	0.000	0.000	-0.224	-6.112	-0.468
DB_014	Scott Gray	17	No lights	-38.3865167	141.3700055	14/03/2023	14:00	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93341	0.002850	0.002850	301.465	0.000	0.000	0.224	3.830	-0.498
DB_015	Grace Cosgriff-Camm	16	No lights	-38.3836864	141.3681495	14/03/2023	11:29	Fished	Discovery Bay	2023	 	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93916	0.002850	0.002850	-301.639	0.000	0.000	0.215	-4.976	2.104
DB_015	Grace Cosgriff-Camm	16	No lights	-38.3836864	141.3681495	14/03/2023	11:29	Fished	Discovery Bay	2023	 	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95121	0.002850	0.002850	301.639	0.000	0.000	-0.215	5.159	0.157
DB_016	Grace Cosgriff-Camm	20	No lights	-38.3708601	141.36187	14/03/2023	11:17	Fished	Discovery Bay	2023	 	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93692	0.002850	0.002850	-300.978	0.000	0.000	0.194	-5.275	-1.148
DB_016	Grace Cosgriff-Camm	20	No lights	-38.3708601	141.36187	14/03/2023	11:17	Fished	Discovery Bay	2023	 	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94122	0.002850	0.002850	300.978	0.000	0.000	-0.194	4.887	0.355
DB_017	Scott Gray	20	No lights	-38.3618732	141.3658893	14/03/2023	9:54	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95194	0.002850	0.002850	-301.809	0.000	0.000	-0.265	-5.459	-0.618
DB_017	Scott Gray	20	No lights	-38.3618732	141.3658893	14/03/2023	9:54	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92723	0.002850	0.002850	301.809	0.000	0.000	0.265	3.653	1.159
DB_018	Scott Gray	15	No lights	-38.3884664	141.3792295	14/03/2023	14:04	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93724	0.002850	0.002850	-301.315	0.000	0.000	-0.350	-5.688	0.030
DB_018	Scott Gray	15	No lights	-38.3884664	141.3792295	14/03/2023	14:04	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94413	0.002850	0.002850	301.315	0.000	0.000	0.350	4.632	1.002
DB_021	Grace Cosgriff-Camm	15	No lights	-38.3536943	141.3736465	14/03/2023	9:48	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93063	0.002850	0.002850	-301.288	0.000	0.000	0.036	-5.372	0.297
DB_021	Grace Cosgriff-Camm	15	No lights	-38.3536943	141.3736465	14/03/2023	9:48	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93243	0.002850	0.002850	301.288	0.000	0.000	-0.036	4.491	1.443
DB_022	Louisa Graf 	7	No lights	-38.3446909	141.3872693	14/03/2023	9:39	No take	Discovery Bay 	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93374	0.002850	0.002850	-301.045	0.000	0.000	-0.295	-5.599	0.030
DB_022	Louisa Graf 	7	No lights	-38.3446909	141.3872693	14/03/2023	9:39	No take	Discovery Bay 	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94168	0.002850	0.002850	301.045	0.000	0.000	0.295	4.648	0.905
DB_024	Louisa Graf	16	No lights	-38.3565601	141.3690673	14/03/2023	9:51	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93940	0.002850	0.002850	-301.809	0.000	0.000	0.111	-5.248	2.115
DB_024	Louisa Graf	16	No lights	-38.3565601	141.3690673	14/03/2023	9:51	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94102	0.002850	0.002850	301.809	0.000	0.000	-0.111	4.371	1.100
DB_025	Grace Cosgriff-Camm	9	No lights	-38.3501202	141.3800057	14/03/2023	9:44	Fished	Discovery Bay	2023	 	Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93916	0.002850	0.002850	-301.639	0.000	0.000	0.215	-4.976	2.104
DB_025	Grace Cosgriff-Camm	9	No lights	-38.3501202	141.3800057	14/03/2023	9:44	Fished	Discovery Bay	2023	 	Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95121	0.002850	0.002850	301.639	0.000	0.000	-0.215	5.159	0.157
DB_026	Grace Cosgriff-Camm	6	No lights	-38.3414156	141.3919927	14/04/2023	9:36	No take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93736	0.002850	0.002850	-301.565	0.000	0.000	-0.674	-5.923	-0.426
DB_026	Grace Cosgriff-Camm	6	No lights	-38.3414156	141.3919927	14/04/2023	9:36	No take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93607	0.002850	0.002850	301.565	0.000	0.000	0.674	4.047	-0.872
DB_028	Scott Gray	31	No lights	-38.3456118	141.3614531	13/03/2023	13:51	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94094	0.002850	0.002850	-301.465	0.000	0.000	-0.224	-6.112	-0.468
DB_028	Scott Gray	31	No lights	-38.3456118	141.3614531	13/03/2023	13:51	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93341	0.002850	0.002850	301.465	0.000	0.000	0.224	3.830	-0.498
DB_029	Scott Gray	22	No lights	-38.3476774	141.3697695	13/03/2023	13:48	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93724	0.002850	0.002850	-301.315	0.000	0.000	-0.350	-5.688	0.030
DB_029	Scott Gray	22	No lights	-38.3476774	141.3697695	13/03/2023	13:48	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94413	0.002850	0.002850	301.315	0.000	0.000	0.350	4.632	1.002
DB_030	Scott Gray	29	No lights	-38.3624636	141.3563772	13/03/2023	13:57	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92366	0.002850	0.002850	-301.547	0.000	0.000	-0.323	-4.828	0.928
DB_030	Scott Gray	29	No lights	-38.3624636	141.3563772	13/03/2023	13:57	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94154	0.002850	0.002850	301.547	0.000	0.000	0.323	4.507	0.998
DB_031	Scott Gray	24	No lights	-38.3290472	141.3710823	13/03/2023	11:50	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94101	0.002850	0.002850	-301.726	0.000	0.000	0.191	-5.518	1.334
DB_031	Scott Gray	24	No lights	-38.3290472	141.3710823	13/03/2023	11:50	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94017	0.002850	0.002850	301.726	0.000	0.000	-0.191	4.166	1.310
DB_032	Scott Gray	25	No lights	-38.3383243	141.3693453	13/03/2023	13:42	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93900	0.002850	0.002850	-301.452	0.000	0.000	0.206	-5.049	2.153
DB_032	Scott Gray	25	No lights	-38.3383243	141.3693453	13/03/2023	13:42	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94802	0.002850	0.002850	301.452	0.000	0.000	-0.206	4.972	0.005
DB_033	Scott Gray	34	No lights	-38.3548972	141.3551972	12/03/2023	12:15	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92366	0.002850	0.002850	-301.547	0.000	0.000	-0.323	-4.828	0.928
DB_033	Scott Gray	34	No lights	-38.3548972	141.3551972	12/03/2023	12:15	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94154	0.002850	0.002850	301.547	0.000	0.000	0.323	4.507	0.998
DB_034	Grace Cosgriff-Camm	20	No lights, no measurements	-38.3828795	141.3669808	14/03/2023	11:27	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93692	0.002850	0.002850	-300.978	0.000	0.000	0.194	-5.275	-1.148
DB_034	Grace Cosgriff-Camm	20	No lights, no measurements	-38.3828795	141.3669808	14/03/2023	11:27	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94122	0.002850	0.002850	300.978	0.000	0.000	-0.194	4.887	0.355
DB_035	Scott Gray	21	No lights	-38.3318588	141.3748848	13/03/2023	11:48	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93818	0.002850	0.002850	-301.032	0.000	0.000	0.022	-5.604	0.516
