OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BAYULOC2_CAM24_RIG29	0	BAYULOC2_CAM24_RIG29_L_1.MP4	1634	BAYULOC2_CAM24_RIG29_R_1.MP4	1502	0.90869		-1	39.93156	-49.73425	-660.99845	0.35866	0.33246	0.63033	2.02058	664.0685	6.15674					0			Sync Point		
BAYULOC2_CAM27_RIG23	0	BAYULOC2_CAM27_RIG23_L_1.MP4	15276	BAYULOC2_CAM27_RIG23_R_1.MP4	14336	8.49516		-1	25.83036	-89.95567	-579.64625	0.29784	0.29742	0.4581	6.15047	587.15331	9.59965					0			Sync Point		
BAYULOC2_CAM49_RIG27	0	BAYULOC2_CAM49_RIG27_L_1.MP4	1105	BAYULOC2_CAM49_RIG27_R_1.MP4	1360	0.6145		-1	30.15117	-107.53139	-547.83075	0.47047	0.3109	0.71009	6.36466	559.09805	12.86904					0			Sync Point		
BAYULOC2_CAM50_RIG28	0	BAYULOC2_CAM50_RIG28_L_1.MP4	2509	BAYULOC2_CAM50_RIG28_R_1.MP4	3560	1.39528		-1	49.46454	-59.88599	-595.66185	0.32604	0.30518	0.52172	1.41521	600.70468	7.98385					0			Sync Point		
BAYULOC2_CAM51_RIG28	0	BAYULOC2_CAM51_RIG28_L_1.MP4	2597	BAYULOC2_CAM51_RIG28_R_1.MP4	2097	1.44422		-1	44.53262	-44.76781	-598.44966	0.32707	0.30481	0.52569	1.89104	601.7718	6.54044					0			Sync Point		
BAYULOC2_CAM52_RIG27	0	BAYULOC2_CAM52_RIG27_L_1.MP4	1360	BAYULOC2_CAM52_RIG27_R_1.MP4	1503	0.75631		-1	33.89339	-88.97378	-559.38008	0.44858	0.30923	0.68224	10.34207	567.42504	10.9726					0			Sync Point		
BAYULOC2_CAM53_RIG20	0	BAYULOC2_CAM53_RIG20_L_1.MP4	5081	BAYULOC2_CAM53_RIG20_R_1.MP4	4967	2.8256		-1	44.72528	-83.69372	-586.79928	0.30711	0.29862	0.47409	5.76618	594.42273	10.26394					0			Sync Point		
BAYULOC2_CAM54_RIG23	0	BAYULOC2_CAM54_RIG23_L_1.MP4	3317	BAYULOC2_CAM54_RIG23_R_1.MP4	3152	1.84462		-1	19.34822	-39.05666	-593.70565	0.30807	0.29838	0.4867	0.64836	595.30343	4.60105					0			Sync Point		
BAYULOC2_CAM58_RIG26	0	BAYULOC2_CAM58_RIG26_L_1.MP4	1996	BAYULOC2_CAM58_RIG26_R_1.MP4	1340	1.11		-1	42.54024	-82.75742	-535.98024	0.3314	0.28474	0.47565	1.89045	543.9975	10.68339					0			Sync Point		
BAYULOC2_CAM59_RIG30	0	BAYULOC2_CAM59_RIG30_L_1.MP4	4026	BAYULOC2_CAM59_RIG30_R_1.MP4	4457	2.23891		-1	34.14802	-27.40385	-551.39818	0.33032	0.28268	0.48842	3.50121	553.13381	5.33196					0			Sync Point		
