OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value													
BAYULOC4_CAM28_RIG20	Brigit Vaughan	66.2 m																														
BAYULOC4_CAM29_RIG27	Brigit Vaughan	67.6 m																														
BAYULOC4_CAM30_RIG28	Brigit Vaughan	60.7 m																														
BAYULOC4_CAM31_RIG28	Brigit Vaughan	53.4 m																														
BAYULOC4_CAM32_RIG27	Brigit Vaughan	53.5 m																														
BAYULOC4_CAM33_RIG20	Brigit Vaughan	54.4 m																														
BAYULOC4_CAM34_RIG23	Brigit Vaughan	53.3 m																														
BAYULOC4_CAM35_RIG25	Brigit Vaughan	53 m																														
BAYULOC4_CAM36_RIG22	Brigit Vaughan	56.2 m																														
BAYULOC4_CAM37_RIG29	Brigit Vaughan	55.9 m																														
BAYULOC4_CAM38_RIG26	Brigit Vaughan	61.7 m																														
BAYULOC4_CAM39_RIG30	Brigit Vaughan	61.5 m		Camera		Field 6		Field 7		Field 8		Field 9		Field 10		Field 11		Field 12														
BAYULOC4_CAM40_RIG24	Brigit Vaughan	64.3 m																														
BAYULOC4_CAM51_RIG28	Brigit Vaughan	54.5 m																														
BAYULOC4_CAM52_RIG27	Brigit Vaughan	52.7 m																														
BAYULOC4_CAM53_RIG20	Brigit Vaughan	52.5 m																														
BAYULOC4_CAM54_RIG23	Brigit Vaughan	54.1																														
BAYULOC4_CAM55_RIG25	Brigit Vaughan	51.7 m																														
BAYULOC4_CAM56_RIG22	Brigit Vaughan	54.1 m																														
BAYULOC4_CAM57_RIG29	Brigit Vaughan	44.6 m																														
BAYULOC4_CAM58_RIG26	Brigit Vaughan	52.9 m																														
BAYULOC4_CAM59_RIG30	Brigit Vaughan																															
BAYULOC4_CAM60_RIG24	Brigit Vaughan																															
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
