opcode,latitude_dd,longitude_dd,date_raw,time_raw,year,month,day,date_time,time.out,planned.or.exploratory,site,location,status,commonwealth.zone,depth_m,observer_count,Maxn.complete.yyyymmdd,Maxn.checker,successful_count,successful_length,FishnClip,Observer_raw,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,forward_habitat_image_saved,backward_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,Video.notes,Vis.in.metres,Habitat.classification ,observer_length,Length.complete.date.yyyymmdd,Notes
28,-34.112916,114.852137,20200603,10:27,2020,06,03,2020-06-03T10:27+08:00,11:34,MBH,c6,South-west,No-take,National Park Zone,44.7,Hayley Sims,24.11.20,Brooke,Yes,Yes,Y,Hayley Sims,378,377,439,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210224,
29,-34.111084,114.855648,20200603,10:31,2020,06,03,2020-06-03T10:31+08:00,11:40,MBH,c6,South-west,No-take,National Park Zone,43,Hayley Sims,24.11.20,Brooke,Yes,Yes,Y,Hayley Sims,372,371,422,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,check cal. Ray rips bait bag off at 57.77,,,Rachel,20210216,
30,-34.112094,114.85946,20200603,10:37,2020,06,03,2020-06-03T10:37+08:00,11:47,MBH,c6,South-west,No-take,National Park Zone,42.9,Hayley Sims,24.11.20,Brooke,Yes,Yes,Y,Hayley Sims,373,374,423,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210217,
31,-34.116007,114.860738,20200603,10:42,2020,06,03,2020-06-03T10:42+08:00,11:55,MBH,c6,South-west,No-take,National Park Zone,44.4,Hayley Sims,24.11.20,Brooke,Yes,Yes,Y,Hayley Sims,375,376,416,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210217,
32,-34.130076,114.86109,20200603,10:49,2020,06,03,2020-06-03T10:49+08:00,12:02,MBH,c5,South-west,No-take,National Park Zone,43.2,Hayley Sims,25.11.20,Brooke /Rachel,Yes,Yes,Y,Hayley Sims,369,370,440,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210217,
33,-34.133067,114.8627,20200603,10:54,2020,06,03,2020-06-03T10:54+08:00,12:06,MBH,c5,South-west,No-take,National Park Zone,43.6,Hayley Sims,03.12.20,Brooke,Yes,No,,Hayley Sims,564,561,420,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,upside down,,
34,-34.131334,114.866053,20200603,12:18,2020,06,03,2020-06-03T12:18+08:00,13:20,MBH,c5,South-west,No-take,National Park Zone,42.7,Hayley Sims,03.12.20,Brooke/Claude,Yes,Yes,,Hayley Sims,564,561,420,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Claude,20210303,
35,-34.134801,114.869348,20200603,12:23,2020,06,03,2020-06-03T12:23+08:00,13:27,MBH,c5,South-west,No-take,National Park Zone,43.8,Hayley Sims,25.11.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,369,370,440,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210217,
36,-34.130484,114.878263,20200603,12:29,2020,06,03,2020-06-03T12:29+08:00,13:33,MBH,c4,South-west,No-take,National Park Zone,42.2,Hayley Sims,25.11.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,375,376,416,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Was on phone to tim so mark was late. Maybe use MBH planned mark instead.,,,Rachel,20210218,
37,-34.126354,114.878937,20200603,12:34,2020,06,03,2020-06-03T12:34+08:00,13:42,MBH,c4,South-west,No-take,National Park Zone,41.2,Hayley Sims,2.12.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,373,374,423,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210218,
38,-34.127912,114.883938,20200603,12:39,2020,06,03,2020-06-03T12:39+08:00,13:48,MBH,c4,South-west,No-take,National Park Zone,41.8,Hayley Sims,2.12.20,Brooke/Rachel,Yes,Yes,Y,Hayley Sims,372,371,422,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,,,,Rachel,20210218,
39,-34.132294,114.884797,20200603,12:42,2020,06,03,2020-06-03T12:42+08:00,13:53,MBH,c4,South-west,No-take,National Park Zone,42.2,Hayley Sims,2.12.20,Brooke,Yes,Yes,Y,Hayley Sims,378,377,439,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Used old bait.,,,Rachel,20210218,
40,-34.133669,114.880443,20200603,12:46,2020,06,03,2020-06-03T12:46+08:00,14:00,MBH,c4,South-west,No-take,National Park Zone,41.2,Hayley Sims,5.12.20,Brooke,Yes,Yes,Y,Hayley Sims,367,368,441,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Used old bait.,,,Rachel,20210218,
08 - failed,-34.129336,114.911822,20200602,11:36,2020,06,02,2020-06-02T11:36+08:00,12:38,MBH,c3,South-west,No-take,National Park Zone,41.7,,,,No,No,NA,,564,561,420,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Camera not turned on. Re-done.,,,NA,,
11 - failed,-34.117769,114.923158,20200602,11:55,2020,06,02,2020-06-02T11:55+08:00,13:03,MBH,c2,South-west,No-take,National Park Zone,46.7,,,,No,No,NA,,373,374,423,1,,Yes,Yes,Yes,Yes,Unknown,Unknown,Facing down. Re-done.,,,NA,,
