Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Observer.length,Length.complete.date.yyyymmdd,Notes
10.15,113.594,-22.6058333,20190814,15:10:00,10,Ningaloo Marine Park,Fished,116,Charlotte Aston,20191015,Todd,Yes,Yes,373,374,439,extra site - picked by Tim,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.01,113.6215013,-22.54044354,20190815,8:06:00,11,Ningaloo Marine Park,Fished,110,Charlotte Aston,20191114,Todd,Yes,Yes,375,376,420,Cloudy day,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.02,113.6248272,-22.5365347,20190815,8:11:00,11,Ningaloo Marine Park,Fished,101,Charlotte Aston,20191016,Todd,Yes,Yes,373,374,439,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.03,113.6274404,-22.53377552,20190815,8:15:00,11,Ningaloo Marine Park,Fished,145,Charlotte Aston,20191016,Todd,No,No,369,370,422,Flipped after 50 mins,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.04,113.6243521,-22.52871703,20190815,8:19:00,11,Ningaloo Marine Park,Fished,190,Charlotte Aston,20191017,Todd,Yes,Yes,367,368,440,Bad vis. Bouncing. Sand bar,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.05,113.6255399,-22.52618778,20190815,8:25:00,11,Ningaloo Marine Park,Fished,100,Charlotte Aston,20191017,Todd,No,No,378,377,423,Flipped on back 40 in,,2,Yes,Yes,20200305,Charlotte Aston,20200317,
11.06,113.6345674,-22.52388847,20190815,8:31:00,11,Ningaloo Marine Park,Fished,85,Charlotte Aston,20191017,Todd,Yes,Yes,372,371,564,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,Labridae sp. 8
12.02,113.67504,-22.46724,20190815,10:37:00,12,Ningaloo Marine Park,Fished,90,Charlotte Aston,20190830,Brooke,Yes,Yes,369,370,422,Converted wrong. ,2,1,Yes,Yes,20200305,Charlotte Aston,20200303,
12.03,113.6678265,-22.46824503,20190815,10:44:00,12,Ningaloo Marine Park,Fished,91,Charlotte Aston,20191022,Todd,Yes,Yes,373,374,439,Changed from 12.08 to 12.03,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
12.04,113.6687767,-22.46433619,20190815,10:48:00,12,Ningaloo Marine Park,Fished,91,Charlotte Aston,20191022,Todd,Yes,Yes,375,376,420,,2,2,Yes,Yes,20200305,Charlotte Aston,20200317,
