Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
KINGFIW4,-27.45415124,153.2488355,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW5,-27.45554853,153.2498661,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW6,-27.45105174,153.2433099,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW7,-27.45102633,153.2412772,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIW8,-27.45661554,153.2506964,20140701,13:00:00,King,Fished,9,2,Ben,Yes,No
REDCNOFIW1,-27.18776372,153.1184893,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW2,-27.18720885,153.1197799,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW3,-27.18671138,153.121049,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW4,-27.18617564,153.1221675,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW5,-27.18751499,153.1227698,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW6,-27.18843339,153.1213932,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW7,-27.18956224,153.1213932,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIW8,-27.19053802,153.1202531,20140701,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCCEFIW1,-27.21133353,153.1211566,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW2,-27.21265345,153.1217803,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW3,-27.21359077,153.1205973,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW4,-27.21408812,153.1191992,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW5,-27.21104659,153.1198229,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW6,-27.21077878,153.1186399,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW7,-27.21521672,153.1187259,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIW8,-27.2098797,153.1181667,20140701,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCSONOW1,-27.26159404,153.1105307,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW2,-27.26123075,153.1124881,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW3,-27.2629516,153.1105952,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW4,-27.26266479,153.1127462,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW5,-27.26421354,153.1109178,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW6,-27.2639841,153.11337,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW7,-27.26583875,153.1113265,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOW8,-27.26572403,153.1137141,20140701,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
MYORNOS1,-27.47383648,153.4054512,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS2,-27.47365053,153.4072536,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
MYORNOS3,-27.4733902,153.409056,20140201,13:00:00,Myora,No-take,1,2,Ben,Yes,No
