Sample,Latitude,Longitude,Date_time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer,Observer.length,DBCA_Zone,DBCA_Sanctuary,Date,Time
SBMP_20200321_SBD-5_BRUV,-26.1503412,113.1723404,2020-03-21T08:21:14Z,SBD,Shark Bay,Fished,3.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:21:14
SBMP_20200321_SBD-6_BRUV,-26.14556775,113.1689267,2020-03-21T08:26:33Z,SBD,Shark Bay,Fished,2.8,Yes,No,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,08:26:33
SBMP_20200321_WCR-1_BRUV,-26.15437077,113.2115478,2020-03-21T09:46:07Z,WCR,Shark Bay,Fished,2.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,09:46:07
SBMP_20200321_WCR-2_BRUV,-26.15191818,113.2113541,2020-03-21T09:49:15Z,WCR,Shark Bay,Fished,2.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,09:49:15
SBMP_20200321_WCR-3_BRUV,-26.14970975,113.2116359,2020-03-21T09:53:23Z,WCR,Shark Bay,Fished,1.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,09:53:23
SBMP_20200321_WCR-4_BRUV,-26.14691987,113.211299,2020-03-21T09:56:30Z,WCR,Shark Bay,Fished,2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,09:56:30
SBMP_20200321_WCR-5_BRUV,-26.14425453,113.210799,2020-03-21T09:59:31Z,WCR,Shark Bay,Fished,1.8,Yes,No,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,09:59:31
SBMP_20200321_WCR-6_BRUV,-26.14219017,113.2101522,2020-03-21T10:11:57Z,WCR,Shark Bay,Fished,2.5,Yes,No,Caprice Hyde,Chris Douglas,General Use,Surf Point,20200321,10:11:57
SBMP_20200321_SP1-1_BRUV,-26.12782347,113.1881637,2020-03-21T11:32:36Z,SP1,Shark Bay,No-take,3.6,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:32:36
SBMP_20200321_SP1-2_BRUV,-26.12873678,113.1858881,2020-03-21T11:35:55Z,SP1,Shark Bay,No-take,2.5,Yes,No,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:35:55
SBMP_20200321_SP1-3_BRUV,-26.12708488,113.1836729,2020-03-21T11:39:23Z,SP1,Shark Bay,No-take,4,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:39:23
SBMP_20200321_SP1-4_BRUV,-26.12809102,113.182507,2020-03-21T11:42:59Z,SP1,Shark Bay,No-take,3.1,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:42:59
SBMP_20200321_SP1-5_BRUV,-26.1289585,113.1804322,2020-03-21T11:46:24Z,SP1,Shark Bay,No-take,7,Yes,No,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:46:24
SBMP_20200321_SP1-6_BRUV,-26.12655385,113.1809555,2020-03-21T11:49:24Z,SP1,Shark Bay,No-take,5.6,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,11:49:24
SBMP_20200321_SP2-1_BRUV,-26.1214159,113.187106,2020-03-21T13:08:34Z,SP2,Shark Bay,No-take,1,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:08:34
SBMP_20200321_SP2-2_BRUV,-26.12329357,113.1865659,2020-03-21T13:12:17Z,SP2,Shark Bay,No-take,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:12:17
SBMP_20200321_SP2-3_BRUV,-26.12457625,113.1854557,2020-03-21T13:16:43Z,SP2,Shark Bay,No-take,2.2,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:16:43
SBMP_20200321_SP2-4_BRUV,-26.1251395,113.1874209,2020-03-21T13:20:29Z,SP2,Shark Bay,No-take,2.2,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:20:29
SBMP_20200321_SP2-5_BRUV,-26.12653542,113.1860594,2020-03-21T13:24:11Z,SP2,Shark Bay,No-take,1.35,Yes,No,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:24:11
SBMP_20200321_SP2-6_BRUV,-26.12377227,113.1848948,2020-03-21T13:35:11Z,SP2,Shark Bay,No-take,1.2,Yes,Yes,Caprice Hyde,Chris Douglas,Sanctuary,Surf Point,20200321,13:35:11
SBMP_20200322_HP1-1_BRUV,-26.04933811,113.3800698,2020-03-22T08:10:49Z,HP1,Shark Bay,Fished,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:10:49
SBMP_20200322_HP1-2_BRUV,-26.04736397,113.3803245,2020-03-22T08:17:21Z,HP1,Shark Bay,Fished,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:17:21
SBMP_20200322_HP1-3_BRUV,-26.04542167,113.378223,2020-03-22T08:24:22Z,HP1,Shark Bay,Fished,0.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:24:22
SBMP_20200322_HP1-4_BRUV,-26.04332525,113.3775492,2020-03-22T08:35:51Z,HP1,Shark Bay,Fished,0.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:35:51
SBMP_20200322_HP1-5_BRUV,-26.04088446,113.3783285,2020-03-22T08:41:46Z,HP1,Shark Bay,Fished,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:41:46
SBMP_20200322_HP1-6_BRUV,-26.03839956,113.3768875,2020-03-22T08:49:02Z,HP1,Shark Bay,Fished,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,08:49:02
SBMP_20200322_AI-1_BRUV,-26.17384094,113.4454604,2020-03-22T10:39:55Z,AI,Shark Bay,Fished,0.8,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,10:39:55
SBMP_20200322_AI-2_BRUV,-26.17126184,113.4469649,2020-03-22T10:44:34Z,AI,Shark Bay,Fished,1,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,10:44:34
SBMP_20200322_AI-3_BRUV,-26.16481094,113.4443461,2020-03-22T10:55:30Z,AI,Shark Bay,Fished,1,No,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,10:55:30
SBMP_20200322_AI-4_BRUV,-26.16189966,113.4446108,2020-03-22T10:59:00Z,AI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,10:59:00
SBMP_20200322_AI-5_BRUV,-26.16221726,113.443658,2020-03-22T11:02:35Z,AI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,11:02:35
SBMP_20200322_AI-6_BRUV,-26.16369936,113.4430758,2020-03-22T11:06:05Z,AI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,11:06:05
SBMP_20200322_WAI-1_BRUV,-26.16509113,113.4311899,2020-03-22T12:25:28Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:25:28
SBMP_20200322_WAI-2_BRUV,-26.16306392,113.4284092,2020-03-22T12:30:40Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:30:40
SBMP_20200322_WAI-3_BRUV,-26.16086689,113.4268171,2020-03-22T12:35:08Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:35:08
SBMP_20200322_WAI-4_BRUV,-26.16028314,113.4257239,2020-03-22T12:38:54Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:38:54
SBMP_20200322_WAI-5_BRUV,-26.15785792,113.4226088,2020-03-22T12:44:59Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:44:59
SBMP_20200322_WAI-6_BRUV,-26.15639324,113.4226725,2020-03-22T12:48:31Z,WAI,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,12:48:31
SBMP_20200322_CI1-1_BRUV,-26.3638815,113.5679039,2020-03-22T15:18:47Z,CI1,Shark Bay,Fished,1.3,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:18:47
SBMP_20200322_CI1-2_BRUV,-26.36530071,113.569348,2020-03-22T15:21:37Z,CI1,Shark Bay,Fished,1,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:21:37
SBMP_20200322_CI1-3_BRUV,-26.36559949,113.5706427,2020-03-22T15:27:09Z,CI1,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:27:09
SBMP_20200322_CI1-4_BRUV,-26.36557459,113.5709788,2020-03-22T15:30:34Z,CI1,Shark Bay,Fished,1,Yes,No,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:30:34
SBMP_20200322_CI1-5_BRUV,-26.36665767,113.5702941,2020-03-22T15:35:37Z,CI1,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:35:37
SBMP_20200322_CI1-6_BRUV,-26.36670747,113.5683894,2020-03-22T15:39:17Z,CI1,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200322,15:39:17
SBMP_20200323_GB1-1_BRUV,-26.22605663,113.7174741,2020-03-23T08:51:11Z,GB1,Shark Bay,Fished,0.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,08:51:11
SBMP_20200323_GB1-2_BRUV,-26.22583735,113.7164941,2020-03-23T08:57:24Z,GB1,Shark Bay,Fished,0.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,08:57:24
SBMP_20200323_GB1-3_BRUV,-26.22524418,113.7128033,2020-03-23T09:02:28Z,GB1,Shark Bay,Fished,0.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:02:28
SBMP_20200323_GB1-4_BRUV,-26.22399058,113.707683,2020-03-23T09:10:12Z,GB1,Shark Bay,Fished,0.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:10:12
SBMP_20200323_GB1-5_BRUV,-26.22362617,113.7039188,2020-03-23T09:14:39Z,GB1,Shark Bay,Fished,0.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:14:39
SBMP_20200323_GB1-6_BRUV,-26.22352643,113.7003643,2020-03-23T09:19:15Z,GB1,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,09:19:15
SBMP_20200323_WI1-1_BRUV,-26.17472817,113.6558181,2020-03-23T10:46:07Z,WI1,Shark Bay,Fished,2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,10:46:07
SBMP_20200323_WI1-2_BRUV,-26.16979107,113.6676863,2020-03-23T10:59:50Z,WI1,Shark Bay,Fished,0.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,10:59:50
SBMP_20200323_WI1-3_BRUV,-26.16906613,113.6668852,2020-03-23T11:02:21Z,WI1,Shark Bay,Fished,0.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,11:02:21
SBMP_20200323_WI1-4_BRUV,-26.1678569,113.6646766,2020-03-23T11:06:05Z,WI1,Shark Bay,Fished,0.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,11:06:05
SBMP_20200323_WI1-5_BRUV,-26.16663838,113.6631138,2020-03-23T11:08:42Z,WI1,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,11:08:42
SBMP_20200323_WI1-6_BRUV,-26.16516648,113.6610104,2020-03-23T11:12:35Z,WI1,Shark Bay,Fished,2.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200323,11:12:35
SBMP_20200324_BF-1_BRUV,-25.85603162,113.3519307,2020-03-24T12:38:00Z,BF,Shark Bay,Fished,5.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,12:38:00
SBMP_20200324_BF-2_BRUV,-25.853907,113.351682,2020-03-24 T12:48Z,BF,Shark Bay,Fished,5.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,12:48:00
SBMP_20200324_BF-3_BRUV,-25.853093,113.351025,2020-03-24 T12:52Z,BF,Shark Bay,Fished,3.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,12:52:00
SBMP_20200324_BF-4_BRUV,-25.852745,113.347612,2020-03-24 T12:55Z,BF,Shark Bay,Fished,2.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,12:55:00
SBMP_20200324_BF-5_BRUV,-25.85129,113.347818,2020-03-24 T12:59Z,BF,Shark Bay,Fished,3.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,12:59:00
SBMP_20200324_BF-6_BRUV,-25.851737,113.3448,2020-03-24 T13:02Z,BF,Shark Bay,Fished,3.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,13:02:00
SBMP_20200324_BB-1_BRUV,-25.53589,113.49307,2020-03-24 T15:14Z,BB,Shark Bay,Fished,3.1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:14:00
SBMP_20200324_BB-2_BRUV,-25.53386,113.49419,2020-03-24 T15:18Z,BB,Shark Bay,Fished,1.9,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:18:00
SBMP_20200324_BB-3_BRUV,-25.53283,113.49316,2020-03-24 T15:22Z,BB,Shark Bay,Fished,4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:22:00
SBMP_20200324_BB-4_BRUV,-25.53133,113.49516,2020-03-24 T15:25Z,BB,Shark Bay,Fished,1.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:25:00
SBMP_20200324_BB-5_BRUV,-25.5287,113.49621,2020-03-24 T15:30Z,BB,Shark Bay,Fished,2.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:30:00
SBMP_20200324_BB-6_BRUV,-25.52641,113.49709,2020-03-24 T15:34Z,BB,Shark Bay,Fished,2.4,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200324,15:34:00
SBMP_20200326_PP-1_BRUV,-25.98375222,113.9138588,2020-03-26T08:22:27Z,PP,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:22:27
SBMP_20200326_PP-2_BRUV,-25.98264838,113.9153587,2020-03-26T08:27:07Z,PP,Shark Bay,Fished,1.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:27:07
SBMP_20200326_PP-3_BRUV,-25.9793469,113.916678,2020-03-26T08:32:09Z,PP,Shark Bay,Fished,2.5,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:32:09
SBMP_20200326_PP-4_BRUV,-25.97660257,113.9177277,2020-03-26T08:35:57Z,PP,Shark Bay,Fished,1.6,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:35:57
SBMP_20200326_PP-5_BRUV,-25.97514355,113.919474,2020-03-26T08:40:04Z,PP,Shark Bay,Fished,1.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:40:04
SBMP_20200326_PP-6_BRUV,-25.97345608,113.9202288,2020-03-26T08:42:16Z,PP,Shark Bay,Fished,2.8,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,08:42:16
SBMP_20200326_FS-1_BRUV,-25.9497627,113.9198569,2020-03-26T10:09:00Z,FS,Shark Bay,Fished,1.2,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,10:09:00
SBMP_20200326_FS-2_BRUV,-25.94809297,113.9218289,2020-03-26T10:14:00Z,FS,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,10:14:00
SBMP_20200326_FS-3_BRUV,-25.94687847,113.9235216,2020-03-26T10:22:12Z,FS,Shark Bay,Fished,0.7,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,10:22:12
SBMP_20200326_FS-4_BRUV,-25.94539153,113.9252588,2020-03-26T10:25:41Z,FS,Shark Bay,Fished,1,Yes,Yes,Caprice Hyde,Chris Douglas,General Use,NA,20200326,10:25:41
SBMP_20200326_FS-5_BRUV,-25.94426497,113.926929,2020-03-26T10:29:01Z,FS,Shark Bay,Fished,1.1,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,10:29:01
SBMP_20200326_FS-6_BRUV,-25.94283617,113.9279308,2020-03-26T10:33:15Z,FS,Shark Bay,Fished,1.1,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,10:33:15
SBMP_20200326_FW-1_BRUV,-25.88016232,113.8692233,2020-03-26T12:10:52Z,FW,Shark Bay,Fished,1.1,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:10:52
SBMP_20200326_FW-2_BRUV,-25.87963132,113.869096,2020-03-26T12:13:07Z,FW,Shark Bay,Fished,0.9,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:13:07
SBMP_20200326_FW-3_BRUV,-25.87863238,113.8690994,2020-03-26T12:15:58Z,FW,Shark Bay,Fished,1,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:15:58
SBMP_20200326_FW-4_BRUV,-25.87794792,113.8680968,2020-03-26T12:18:56Z,FW,Shark Bay,Fished,1.2,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:18:56
SBMP_20200326_FW-5_BRUV,-25.87670493,113.8649993,2020-03-26T12:23:00Z,FW,Shark Bay,Fished,1.3,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:23:00
SBMP_20200326_FW-6_BRUV,-25.87586603,113.8633129,2020-03-26T12:25:42Z,FW,Shark Bay,Fished,0.9,Yes,Yes,Chris Douglas,Chris Douglas,General Use,NA,20200326,12:25:42
