Sample,Family,Genus,Species,Count,,
20_RB109,Mullidae,Upeneus,tragula,1,,
20_RB109,Nemipteridae,Pentapodus,porosus,6,,
20_RB109,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB109,Scombridae,Scomberomorus,spp,3,,
20_RB109,Serranidae,Epinephelus,bilobatus,4,,
20_RB109,Serranidae,Plectropomus,spp,2,,
20_RB109,Siganidae,Siganus,canaliculatus,1,,
20_RB10A,Carangidae,Atule,mate,5,,
20_RB10A,Carcharhinidae,Carcharhinus,coatesi,2,,
20_RB10A,Glaucosomatidae,Glaucosoma,magnificum,1,,
20_RB10A,Labridae,Choerodon,cauteroma,4,,
20_RB10A,Labridae,Choerodon,cephalotes,1,,
20_RB10A,Labridae,Anampses,lennardi,1,,
20_RB10A,Labridae,Choerodon,vitta,1,,
20_RB10A,Lethrinidae,Lethrinus,genivittatus,1,,
20_RB10A,Lethrinidae,Lethrinus,laticaudis,1,,
20_RB10A,Lethrinidae,Lethrinus,punctulatus,16,,
20_RB10A,Lutjanidae,Lutjanus,carponotatus,2,,
20_RB10A,Monacanthidae,Monacanthus,chinensis,1,,
20_RB10A,Mullidae,Upeneus,tragula,6,,
20_RB10A,Muraenidae,Gymnothorax,flavimarginatus,1,,
20_RB10A,Nemipteridae,Scolopsis,monogramma,3,,
20_RB10A,Nemipteridae,Pentapodus,porosus,5,,
20_RB10A,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB10A,Scombridae,Scomberomorus,spp,4,,
20_RB10A,Serranidae,Epinephelus,bilobatus,4,,
20_RB10A,Serranidae,Epinephelus,quoyanus,2,,
20_RB10A,Siganidae,Siganus,canaliculatus,2,,
20_RB111,Carangidae,Scomberoides,commersonnianus,1,,
20_RB111,Carangidae,Turrum,fulvoguttatum,1,,
20_RB111,Carangidae,Selaroides,leptolepis,1,,
20_RB111,Carangidae,Atule,mate,5,,
20_RB111,Carcharhinidae,Carcharhinus,coatesi,2,,
20_RB111,Echeneidae,Echeneis,naucrates,1,,
20_RB111,Elopidae,Elops,hawaiensis,2,,
20_RB111,Labridae,Choerodon,cauteroma,3,,
20_RB111,Labridae,Choerodon,cephalotes,3,,
20_RB111,Labridae,Macropharyngodon,negrosensis,1,,
20_RB111,Labridae,Coris,pictoides,1,,
20_RB111,Labridae,Choerodon,vitta,1,,
20_RB111,Lethrinidae,Lethrinus,genivittatus,1,,
20_RB111,Lethrinidae,Lethrinus,punctulatus,12,,
20_RB111,Lutjanidae,Lutjanus,carponotatus,1,,
20_RB111,Mullidae,Upeneus,tragula,2,,
20_RB111,Nemipteridae,Scolopsis,monogramma,1,,
20_RB111,Nemipteridae,Pentapodus,porosus,10,,
20_RB111,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB111,Scombridae,Scomberomorus,spp,1,,
20_RB111,Serranidae,Epinephelus,bilobatus,4,,
