OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute	Attribute
AR_BTC_R3	5	BTC_R3(2).avi	43219	14.40633		-1	891.21862	558.21545	0	0	Carangidae	Pseudocaranx		37337924	20	AD	Passing			
AR_BTC_R3	6	BTC_R3(2).avi	43517	14.50567		-1	590.22658	431.29489	0	0	Carangidae	Pseudocaranx		37337924	25	AD	Passing			
AR_BTC_R3	7	BTC_R3(2).avi	58518	19.506		-1	946.47887	475.95212	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Feeding			
AR_BTC_R3	8	BTC_R3(2).avi	58685	19.56167		-1	859.47336	450.09793	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	9	BTC_R3(2).avi	58685	19.56167		-1	959.41212	468.90098	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	10	BTC_R3(2).avi	58915	19.63833		-1	1169.8714	786.20239	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	11	BTC_R3(2).avi	58915	19.63833		-1	946.47887	587.59521	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	12	BTC_R3(2).avi	58915	19.63833		-1	1002.91488	595.82155	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	13	BTC_R3(2).avi	70669	23.55633		-1	967.64238	305.54951	0	0	Carangidae	Pseudocaranx		37337924	1	AD	Feeding			
AR_BTC_R3	14	BTC_R3(2).avi	82930	27.64333		-1	573.76607	94.01523	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	15	BTC_R3(2).avi	82930	27.64333		-1	874.75811	246.78999	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	16	BTC_R3(2).avi	82930	27.64333		-1	1155.7624	747.42111	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	17	BTC_R3(2).avi	82930	27.64333		-1	1261.57991	949.55386	0	0	Sparidae	Pagrus	auratus	37353001	1	AD	Passing			
AR_BTC_R3	18	BTC_R3(2).avi	159169	53.05633		-1	951.18187	58.75952	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R3	19	BTC_R3(2).avi	167305	55.76833		-1	1594.31721	633.42764	0	0	Platycephalidae	Platycephalus	speculator	37296037	1	AD	Passing			
AR_BTC_R3	20	BTC_R3(2).avi	168112	56.03733		-1	1543.75995	971.88248	0	0	Platycephalidae	Platycephalus	speculator	37296037	1	AD	Passing			
AR_BTC_R3	21	BTC_R3(2).avi	168112	56.03733		-1	1824.76424	1058.84657	0	0	Platycephalidae	Platycephalus	speculator	37296037	1	AD	Passing			
AR_BTC_R3	22	BTC_R3(2).avi	172762	57.58733		-1	974.69688	47.00762	0	0	Portunidae	Nectocarcinus	integrifrons	28911010	1	AD	Attracted			
AR_BTC_R3	23	BTC_R3(2).avi	181532	60.51067		-1	925.31537	376.06094	0	0	Carangidae	Pseudocaranx		37337924	33	AD	Passing			
AR_BTC_R3	24	BTC_R3(2).avi	229735	76.57833		-1	922.96387	333.75408	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Feeding			
AR_BTC_R3	25	BTC_R3(2).avi	234613	78.20433		-1	928.84262	92.84004	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R3	26	BTC_R3(2).avi	234613	78.20433		-1	1039.36314	220.9358	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
AR_BTC_R3	27	BTC_R3(2).avi	239889	79.963		-1	934.72137	238.56366	0	0	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Passing			
