Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,Observer
FISZ01,-32.753475,152.2002983,20221019,12:30:00,Fingal Island,Fingal Island,No-take,31,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ02,-32.75263167,152.1972917,20221019,12:30:00,Fingal Island,Fingal Island,No-take,25,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ03,-32.753765,152.197265,20221019,12:30:00,Fingal Island,Fingal Island,No-take,26,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ04,-32.75577333,152.19355,20221019,12:30:00,Fingal Island,Fingal Island,No-take,26,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ06,-32.75668833,152.19109,20221019,14:00:00,Fingal Island,Fingal Island,No-take,29,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ07,-32.75504833,152.1905433,20221019,14:00:00,Fingal Island,Fingal Island,No-take,29,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ08,-32.75478667,152.1891367,20221019,14:00:00,Fingal Island,Fingal Island,No-take,25,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
FISZ09,-32.75381333,152.1946967,20221019,14:00:00,Fingal Island,Fingal Island,No-take,24,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
LI03,-32.69929833,152.2434367,20220621,14:30:00,Cabbage Tree Island,Little Island,Fished,20,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
LI05,-32.70119667,152.2399533,20220621,14:30:00,Cabbage Tree Island,Little Island,Fished,20,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
LI08,-32.70163,152.2391483,20220621,14:30:00,Cabbage Tree Island,Little Island,Fished,28,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
LI09,-32.698335,152.2454183,20220621,14:30:00,Cabbage Tree Island,Little Island,Fished,20,Yes,Yes,Josh Maloney,Josh Maloney,Josh Maloney
LS01,-32.477497,152.54846,20220623,10:30:00,Seal Rocks,Little Seal Rock,No-take,29,Yes,Yes,David Harasti,David Harasti,David Harasti
LS02,-32.472695,152.546083,20220623,10:30:00,Seal Rocks,Little Seal Rock,No-take,28,Yes,Yes,David Harasti,David Harasti,David Harasti
LS03,-32.478645,152.546315,20220623,10:30:00,Seal Rocks,Little Seal Rock,No-take,24,Yes,Yes,David Harasti,David Harasti,David Harasti
LS04,-32.47142833,152.54734,20220623,10:30:00,Seal Rocks,Little Seal Rock,No-take,24,Yes,Yes,David Harasti,David Harasti,David Harasti
NR01,-32.59923,152.3238517,20220623,14:00:00,Broughton Island,North Rock,Fished,18,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR02,-32.59608167,152.3212933,20220623,14:00:00,Broughton Island,North Rock,Fished,18,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR03,-32.59515167,152.3232483,20220623,14:00:00,Broughton Island,North Rock,Fished,24,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR04,-32.596725,152.3248433,20220623,14:00:00,Broughton Island,North Rock,Fished,20,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR05,-32.60199333,152.3240933,20220623,15:00:00,Broughton Island,North Rock,Fished,21,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR06,-32.604,152.3231317,20220623,15:00:00,Broughton Island,North Rock,Fished,20,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR07,-32.60428667,152.3204383,20220623,15:00:00,Broughton Island,North Rock,Fished,22,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
NR08,-32.60404167,152.3166233,20220623,15:00:00,Broughton Island,North Rock,Fished,25,Yes,Yes,Chris Gallen,Chris Gallen,Chris Gallen
OG01,-32.55595333,152.4362983,20220629,13:00:00,Outer Gibber,Outer Gibber,Fished,36,Yes,Yes,David Harasti,David Harasti,David Harasti
OG02,-32.55464,152.4363067,20220629,13:00:00,Outer Gibber,Outer Gibber,Fished,38,Yes,Yes,David Harasti,David Harasti,David Harasti
OG03,-32.55344333,152.4367533,20220629,13:00:00,Outer Gibber,Outer Gibber,Fished,45,Yes,Yes,David Harasti,David Harasti,David Harasti
OG04,-32.55297667,152.43507,20220629,13:00:00,Outer Gibber,Outer Gibber,Fished,38,Yes,Yes,David Harasti,David Harasti,David Harasti
OG05,-32.553115,152.433005,20220629,14:30:00,Outer Gibber,Outer Gibber,Fished,36,Yes,Yes,David Harasti,David Harasti,David Harasti
OG06,-32.55412,152.4329,20220629,14:30:00,Outer Gibber,Outer Gibber,Fished,36,Yes,Yes,David Harasti,David Harasti,David Harasti
OG07,-32.554855,152.43425,20220629,14:30:00,Outer Gibber,Outer Gibber,Fished,38,Yes,Yes,David Harasti,David Harasti,David Harasti
OG08,-32.55405833,152.4351817,20220629,14:30:00,Outer Gibber,Outer Gibber,Fished,31,Yes,Yes,David Harasti,David Harasti,David Harasti
PN01,-32.22882333,152.6014483,20220920,10:30:00,Pinnacle,Pinnacle,No-take,35,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN02,-32.228205,152.6009283,20220920,10:30:00,Pinnacle,Pinnacle,No-take,29,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN03,-32.22768667,152.6001783,20220920,10:30:00,Pinnacle,Pinnacle,No-take,33.3,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN04,-32.22717833,152.5989483,20220920,10:30:00,Pinnacle,Pinnacle,No-take,34,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN05,-32.22785667,152.60205,20220920,11:30:00,Pinnacle,Pinnacle,No-take,38,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN06,-32.22908,152.60433,20220920,11:30:00,Pinnacle,Pinnacle,No-take,46,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN07,-32.22766167,152.601145,20220920,11:30:00,Pinnacle,Pinnacle,No-take,45,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
PN08,-32.22992,152.6020583,20220920,11:30:00,Pinnacle,Pinnacle,No-take,46,Yes,Yes,Art Schulz,Art Schulz,Art Schulz
SM01,-32.26824167,152.5756033,20220920,14:00:00,Pinnacle,Seven Mile Reef,Fished,47,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
SM03,-32.26940167,152.574155,20220920,14:00:00,Pinnacle,Seven Mile Reef,Fished,47,Yes,Yes,Meryl Larkin,Meryl Larkin,Meryl Larkin
