Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Others,Comments
APO_023,-38.91789589,143.5353245,20210614,14:06:00,Apollo CMR,Fished,Apollo CMR,65.88,Scott Gray,Yes,Yes,,"Lights, second file highlight reel"
APO_024,-38.92686787,143.532159,20210614,13:54:00,Apollo CMR,Fished,Apollo CMR,73.73,Scott Gray,Yes,Yes,,Dark
APO_025,-38.92454577,143.5452176,20210614,14:12:00,Apollo CMR,Fished,Apollo CMR,77.01,Scott Gray,Yes,Yes,,Dark
APO_026,-38.91778033,143.5295293,20210614,14:03:00,Apollo CMR,Fished,Apollo CMR,62.69,Scott Gray,Yes,Yes,,
APO_027,-38.93021295,143.5353694,20210615,13:49:00,Apollo CMR,Fished,Apollo CMR,74.71,Scott Gray,Yes,Yes,,
APO_028,-38.92123832,143.5380808,20210614,14:00:00,Apollo CMR,Fished,Apollo CMR,71.99,Scott Gray,Yes,Yes,,
APO_029,-38.92400328,143.5356899,20210614,13:58:00,Apollo CMR,Fished,Apollo CMR,72.01,Scott Gray,Yes,Yes,,
APO_030,-38.92874003,143.548942,20210615,13:44:00,Apollo CMR,Fished,Apollo CMR,77.64,Scott Gray,Yes,Yes,,Lights
APO_031,-38.9428436,143.5650766,20210615,11:52:00,Apollo CMR,Fished,Apollo CMR,74.88,Scott Gray,Yes,Yes,,
APO_032,-38.94103251,143.552435,20210615,12:16:00,Apollo CMR,Fished,Apollo CMR,77.01,Scott Gray,Yes,Yes,,
APO_033,-38.94616391,143.5558281,20210615,12:13:00,Apollo CMR,Fished,Apollo CMR,78.43,Scott Gray,Yes,Yes,,Lights
APO_034,-38.94422792,143.5684953,20210615,11:55:00,Apollo CMR,Fished,Apollo CMR,75.36,Scott Gray,Yes,Yes,,Tangle
APO_035,-38.95177587,143.5512001,20210615,12:09:00,Apollo CMR,Fished,Apollo CMR,80.09,Scott Gray,Yes,Yes,,Lights
APO_036,-38.95040076,143.5631108,20210615,12:03:00,Apollo CMR,Fished,Apollo CMR,75.77,Scott Gray,Yes,Yes,,
APO_037,-38.94662769,143.5644767,20210615,12:01:00,Apollo CMR,Fished,Apollo CMR,74.46,Scott Gray,Yes,Yes,,
APO_038,-38.93762869,143.5698711,20210615,11:47:00,Apollo CMR,Fished,Apollo CMR,76.46,Scott Gray,Yes,Yes,,Lights
APO_039,-38.95153435,143.5582595,20210615,12:05:00,Apollo CMR,Fished,Apollo CMR,75.96,Scott Gray,Yes,Yes,,6R camera fail again check footage
APO_040,-38.93777239,143.5650812,20210615,11:50:00,Apollo CMR,Fished,Apollo CMR,75.98,Scott Gray,Yes,Yes,,Lights
APO_041,-38.92831938,143.6121707,20210615,10:15:00,Apollo CMR,Fished,Apollo CMR,76.87,Scott Gray,Yes,Yes,,Lights
APO_042,-38.92655138,143.6211445,20210615,10:11:00,Apollo CMR,Fished,Apollo CMR,77.25,Scott Gray,Yes,Yes,,Lights
APO_043,-38.92256159,143.6126475,20210615,9:54:00,Apollo CMR,Fished,Apollo CMR,78.06,Scott Gray,Yes,No,,Dark
APO_044,-38.92342275,143.6242993,20210615,10:08:00,Apollo CMR,Fished,Apollo CMR,79.07,Scott Gray,Yes,Yes,,
APO_045,-38.91308211,143.6216389,20210615,9:43:00,Apollo CMR,Fished,Apollo CMR,77.78,Scott Gray,Yes,Yes,,Dark
APO_046,-38.9159008,143.6161287,20210615,9:46:00,Apollo CMR,Fished,Apollo CMR,78.13,Scott Gray,Yes,Yes,,Lights
APO_047,-38.91685677,143.6251699,20210615,10:02:00,Apollo CMR,Fished,Apollo CMR,76.8,Scott Gray,Yes,Yes,,Dark
APO_048,-38.92014837,143.6190174,20210615,9:58:00,Apollo CMR,Fished,Apollo CMR,76.87,Scott Gray,Yes,Yes,,Dark
APO_049,-38.92032968,143.6269818,20210615,10:05:00,Apollo CMR,Fished,Apollo CMR,77.67,Scott Gray,Yes,Yes,,Dark
APO_050,-38.9180188,143.6074832,20210615,9:50:00,Apollo CMR,Fished,Apollo CMR,77.16,Scott Gray,Yes,Yes,,Lights
