Filename,Frame,Time (mins),Image row,Image col,Date,Location,Site #,Transect #,Latitude,Longitude,Rugosity,Depth,Collector,Fishing status,Spare,Spare,Frame info 1,Frame info 2,Frame info 3,Frame info 4,Frame info 5,Frame info 6,CATAMI_L2_L3,CATAMI_L4,CATAMI_L5,Relief,,,,,Radius %
INV_DC_001.jpg,0,,1013,2966,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,54.4
INV_DC_001.jpg,0,,614,3689,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,95.6
INV_DC_001.jpg,0,,915,2914,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,53.7
INV_DC_001.jpg,0,,984,2900,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,51.7
INV_DC_001.jpg,0,,924,2829,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,49.6
INV_DC_001.jpg,0,,635,3619,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,91.9
INV_DC_001.jpg,0,,680,3617,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,91
INV_DC_001.jpg,0,,755,2873,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,55.6
INV_DC_001.jpg,0,,1009,2701,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,42
INV_DC_001.jpg,0,,619,2640,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,50.8
INV_DC_001.jpg,0,,639,3188,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,72.3
INV_DC_001.jpg,0,,648,2360,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,41
INV_DC_001.jpg,0,,625,2488,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,45.6
INV_DC_001.jpg,0,,2079,1359,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,47.3
INV_DC_001.jpg,0,,1655,813,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,58.9
INV_DC_001.jpg,0,,1932,1023,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,55
INV_DC_001.jpg,0,,1808,1025,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,51.7
INV_DC_001.jpg,0,,2130,765,,,,,,,,,,,,,,,,,,,Substrate > Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),,Unidentifiable,Open,,0c3b116b-2536-47da-9843-2a63596ace3e,71.3
