Dot Point Measurements

Generated: Tuesday 27 May 2025 08:35:24

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		879	186											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							84.4
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		979	605											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							45.0
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		600	1605											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Unscorable								64.6
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		826	31											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		589	1155											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Unscorable								26.5
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		1015	574											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							49.4
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		894	563											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							46.4
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		884	1895											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							91.3
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		699	839											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							20.2
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		905	1871											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							89.1
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		721	458											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							56.9
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		836	1744											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							75.6
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		594	142											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Unscorable								91.1
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		924	1898											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							92.1
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		754	1655											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							66.6
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		831	988											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							3.6
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		957	412											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							63.0
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		859	619											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Substrate	Unconsolidated (soft)							40.2
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		655	1346											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Unscorable								37.8
FIG-BV-04_1_01_20240525_BRUV_2_L17_GX010052.MP4_0009330.jpg	      0		643	1557											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-04	1					Unscorable								58.7
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		848	552											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							21.9
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		989	1316											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							52.3
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		874	322											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							43.4
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		811	98											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							63.7
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		996	104											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							65.5
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		711	124											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							62.0
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		1022	450											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							36.9
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		902	1493											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							66.6
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		1011	660											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							22.2
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		717	627											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							16.8
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		728	472											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							29.9
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		787	162											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							57.8
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		673	1776											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							93.1
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		690	54											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Unscorable								68.6
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		831	1592											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							75.2
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		638	1700											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							86.6
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		1023	956											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							25.7
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		540	532											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Unscorable								34.0
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		620	1843											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-05_1_01_20240525_BRUV_7_L27_GX010050.MP4_0008965.jpg	      0		732	835											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-05	1					Substrate	Unconsolidated (soft)							8.5
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		965	1502											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Unscorable								44.5
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		913	1486											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sessile invertebrates								40.7
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		763	244											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								100.0
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		1053	1640											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Macroalgae	Erect fine branching							62.6
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		637	1514											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								45.4
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		812	1825											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								76.4
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		685	1191											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								13.8
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		689	1690											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								62.5
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		820	313											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								92.3
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		915	455											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								77.5
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		558	1906											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sessile invertebrates								89.5
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		779	1292											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								17.0
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		555	1279											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Unscorable								31.2
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		802	855											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sessile invertebrates								31.8
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		954	1124											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								17.6
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		838	1494											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								39.7
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		973	1572											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sessile invertebrates								51.9
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		791	609											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								59.2
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		689	386											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								85.0
FIG-BV-06_1_01_20240525_BRUV_6_L95_GX010051.MP4_0006544.jpg	      0		762	423											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-06	1					Sponges								80.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		894	1170											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Sessile invertebrates								7.2
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		909	274											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							87.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		888	1747											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							44.6
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1034	1318											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							15.9
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		801	708											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							48.6
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		723	1035											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							23.1
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		823	1908											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Unscorable								59.1
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		582	1705											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Unscorable								48.3
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		710	1451											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							23.1
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		581	679											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Unscorable								57.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1046	1858											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							56.7
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		866	1908											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Unscorable								59.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1066	1689											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							43.1
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1048	1272											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							16.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		959	1482											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							22.4
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		659	437											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							74.8
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		749	1018											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							23.3
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1063	1802											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							52.3
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1015	137											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		800	1060											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Substrate	Unconsolidated (soft)							17.9
FIG-BV-07_1_01_20240525_BRUV_4_L21_GX010050.MP4_0014266.jpg	      0		1075	1542											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-07	1					Unscorable								31.9
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		773	1026											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Substrate	Consolidated (hard)							11.9
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		722	593											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Unscorable								37.8
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		958	1282											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Substrate	Unconsolidated (soft)							47.2
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		717	1028											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Unscorable								12.0
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		830	502											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Substrate	Unconsolidated (soft)							49.0
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		642	1800											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Unscorable								100.0
FIG-BV-08_1_01_20240525_BRUV_4_L21_GX010052.MP4_0006185.jpg	      0		547	162											2024_05_Wudjari_stereo-BRUVs	no	FIG-BV-08	1					Unscorable								89.5
