Dot Point Measurements

Generated: Monday 26 May 2025 15:36:26

Filename	Frame	Time (mins)	Image row	Image col											campaignid	relief_annotated	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
FIG-BV-04_1_X.JPG	      0		4820	2377											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							43.8
FIG-BV-04_1_X.JPG	      0		4499	3679											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							50.9
FIG-BV-04_1_X.JPG	      0		2512	1861											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							44.8
FIG-BV-04_1_X.JPG	      0		2846	481											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							77.2
FIG-BV-04_1_X.JPG	      0		3196	3470											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							35.0
FIG-BV-04_1_X.JPG	      0		4169	506											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							74.7
FIG-BV-04_1_X.JPG	      0		2527	52											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							95.3
FIG-BV-04_1_X.JPG	      0		2999	2674											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							21.0
FIG-BV-04_1_X.JPG	      0		3639	1290											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							44.3
FIG-BV-04_1_X.JPG	      0		2712	1903											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							38.2
FIG-BV-04_1_X.JPG	      0		3142	3850											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							48.2
FIG-BV-04_1_X.JPG	      0		4385	5238											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-04	1					Substrate	Unconsolidated (soft)							98.4
FIG-BV-05_1_X.JPG	      0		3298	4560											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							75.9
FIG-BV-05_1_X.JPG	      0		2731	1839											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							28.8
FIG-BV-05_1_X.JPG	      0		2743	4013											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							62.2
FIG-BV-05_1_X.JPG	      0		2844	2318											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							20.5
FIG-BV-05_1_X.JPG	      0		4414	752											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							61.0
FIG-BV-05_1_X.JPG	      0		4673	4497											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							84.2
FIG-BV-05_1_X.JPG	      0		2786	1233											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							42.2
FIG-BV-05_1_X.JPG	      0		2986	1064											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							44.3
FIG-BV-05_1_X.JPG	      0		3661	1266											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							35.3
FIG-BV-05_1_X.JPG	      0		3228	2931											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							22.5
FIG-BV-05_1_X.JPG	      0		4575	3034											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							44.9
FIG-BV-05_1_X.JPG	      0		3799	4798											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							84.5
FIG-BV-05_1_X.JPG	      0		3660	1159											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							38.8
FIG-BV-05_1_X.JPG	      0		3482	104											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							73.6
FIG-BV-05_1_X.JPG	      0		3915	1911											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							20.2
FIG-BV-05_1_X.JPG	      0		4019	5230											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							100.0
FIG-BV-05_1_X.JPG	      0		2929	3479											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							43.3
FIG-BV-05_1_X.JPG	      0		3341	51											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							75.5
FIG-BV-05_1_X.JPG	      0		3089	1398											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							32.6
FIG-BV-05_1_X.JPG	      0		2936	360											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-05	1					Substrate	Unconsolidated (soft)							67.3
FIG-BV-06_1_X.JPG	      0		3139	2616											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sponges								30.4
FIG-BV-06_1_X.JPG	      0		2995	2518											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								35.6
FIG-BV-06_1_X.JPG	      0		3686	1160											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								53.5
FIG-BV-06_1_X.JPG	      0		3934	4753											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								97.3
FIG-BV-06_1_X.JPG	      0		4537	4470											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								90.2
FIG-BV-06_1_X.JPG	      0		2538	1072											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Unscorable								78.7
FIG-BV-06_1_X.JPG	      0		4599	2222											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Macroalgae								32.8
FIG-BV-06_1_X.JPG	      0		3752	2144											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								12.5
FIG-BV-06_1_X.JPG	      0		4086	72											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								99.1
FIG-BV-06_1_X.JPG	      0		4751	1359											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Bryozoa								58.7
FIG-BV-06_1_X.JPG	      0		2755	4559											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Unscorable								100.0
FIG-BV-06_1_X.JPG	      0		3930	1556											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sponges								36.7
FIG-BV-06_1_X.JPG	      0		3646	3817											2024-05_Wudjari_stereo-BRUVs	No	FIG-BV-06	1					Sessile invertebrates								58.6
